"","IonXpress_013_03042019","IonXpress_014_03042019","IonXpress_007_21012022","IonXpress_014_21012022","IonXpress_005_27012022","IonXpress_006_27012022","IonXpress_013_27012022","IonXpress_014_27012022","IonXpress_007_03042019","IonXpress_008_03042019","IonXpress_092_22082022","IonXpress_096_22082022","IonXpress_090_22082022","IonXpress_094_22082022","IonXpress_091_22082022","IonXpress_095_22082022","IonXpress_089_22082022","IonXpress_093_22082022"
"SEC24B-AS1",1,1,5,0,2,2,2,1,9,1,6,5,1,1,6,4,4,4
"A1BG",5,2,0,0,2,1,4,3,0,1,3,1,2,3,6,1,2,1
"A1CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GGACT",3,2,0,0,3,1,0,4,1,2,2,0,0,2,2,1,1,0
"A2M",161,28,64,18,387,62,303,51,3,2,3,17,27,41,59,35,75,51
"A2ML1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",490,259,249,122,864,713,614,412,220,271,401,351,298,346,263,355,419,375
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",276,299,209,144,501,681,470,568,591,598,148,119,143,171,266,211,304,260
"AACS",69,113,102,73,178,206,173,240,179,125,143,100,130,137,333,204,367,280
"AADAC",0,0,6,4,3,3,2,3,0,0,0,0,0,0,2,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AADAT",25,36,36,20,56,60,53,75,36,41,42,21,50,47,73,25,55,69
"AAGAB",331,317,361,294,705,824,800,780,436,420,519,391,400,440,469,502,603,599
"AAK1",42,33,16,12,66,78,69,59,52,45,22,10,8,16,58,33,38,21
"AAMP",556,429,471,220,1288,1408,1013,949,609,564,444,336,496,660,583,543,785,760
"AANAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AARS",2102,1743,1146,663,3255,3002,3421,2792,1982,1946,2467,1996,2310,2767,2778,2499,2564,3001
"AARS2",58,62,23,39,93,110,52,77,112,76,32,21,37,35,40,41,50,54
"PTGES3L-AARSD1",6,5,1,0,7,4,1,2,7,4,1,3,1,0,2,1,2,4
"AASDH",13,7,26,9,44,31,51,25,6,11,29,29,25,46,22,34,53,35
"AASDHPPT",143,123,313,160,450,379,360,358,167,184,358,268,313,387,513,391,577,459
"AASS",49,24,14,11,63,35,43,26,17,16,12,22,9,21,28,29,40,32
"AATF",417,468,474,339,847,1170,938,1259,679,594,490,378,469,659,528,639,672,783
"AATK",3,1,1,1,0,1,1,0,0,0,5,5,0,4,6,3,0,4
"ABAT",286,183,67,66,374,279,406,254,89,94,328,223,207,240,240,237,253,293
"ABCA1",92,36,155,15,251,73,200,46,73,53,272,238,346,429,414,466,595,484
"ABCA10",5,2,1,0,5,2,1,2,0,0,5,2,4,7,16,9,19,8
"ABCA12",0,0,0,0,3,0,0,0,0,0,6,2,1,4,2,0,3,1
"ABCA13",0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
"ABCA17P",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ABCA2",531,459,243,169,764,770,851,677,208,251,694,526,487,536,265,381,395,433
"ABCA3",33,41,12,5,34,41,61,59,46,41,40,39,34,33,19,29,34,35
"ABCA4",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,2,1
"ABCA5",26,25,32,24,67,35,109,57,23,20,51,49,103,147,140,117,135,169
