gene_set	gene_symbol
SenMayo	ACVR1B
SenMayo	ANG
SenMayo	ANGPT1
SenMayo	ANGPTL4
SenMayo	AREG
SenMayo	AXL
SenMayo	BEX3
SenMayo	BMP2
SenMayo	BMP6
SenMayo	C3
SenMayo	CCL1
SenMayo	CCL13
SenMayo	CCL16
SenMayo	CCL2
SenMayo	CCL20
SenMayo	CCL24
SenMayo	CCL26
SenMayo	CCL3
SenMayo	CCL3L1
SenMayo	CCL4
SenMayo	CCL5
SenMayo	CCL7
SenMayo	CCL8
SenMayo	CD55
SenMayo	CD9
SenMayo	CSF1
SenMayo	CSF2
SenMayo	CSF2RB
SenMayo	CST4
SenMayo	CTNNB1
SenMayo	CTSB
SenMayo	CXCL1
SenMayo	CXCL10
SenMayo	CXCL12
SenMayo	CXCL16
SenMayo	CXCL2
SenMayo	CXCL3
SenMayo	CXCL8
SenMayo	CXCR2
SenMayo	DKK1
SenMayo	EDN1
SenMayo	EGF
SenMayo	EGFR
SenMayo	EREG
SenMayo	ESM1
SenMayo	ETS2
SenMayo	FAS
SenMayo	FGF1
SenMayo	FGF2
SenMayo	FGF7
SenMayo	GDF15
SenMayo	GEM
SenMayo	GMFG
SenMayo	HGF
SenMayo	HMGB1
SenMayo	ICAM1
SenMayo	ICAM3
SenMayo	IGF1
SenMayo	IGFBP1
SenMayo	IGFBP2
SenMayo	IGFBP3
SenMayo	IGFBP4
SenMayo	IGFBP6
SenMayo	IGFBP7
SenMayo	IL10
SenMayo	IL13
SenMayo	IL15
SenMayo	IL18
SenMayo	IL1A
SenMayo	IL1B
SenMayo	IL2
SenMayo	IL32
SenMayo	IL6
SenMayo	IL6ST
SenMayo	IL7
SenMayo	INHA
SenMayo	IQGAP2
SenMayo	ITGA2
SenMayo	ITPKA
SenMayo	JUN
SenMayo	KITLG
SenMayo	LCP1
SenMayo	MIF
SenMayo	MMP1
SenMayo	MMP10
SenMayo	MMP12
SenMayo	MMP13
SenMayo	MMP14
SenMayo	MMP2
SenMayo	MMP3
SenMayo	MMP9
SenMayo	NAP1L4
SenMayo	NRG1
SenMayo	PAPPA
SenMayo	PECAM1
SenMayo	PGF
SenMayo	PIGF
SenMayo	PLANH1
SenMayo	PLAT
SenMayo	PLAU
SenMayo	PLAUR
SenMayo	PTBP1
SenMayo	PTGER2
SenMayo	PTGES
SenMayo	RPS6KA5
SenMayo	SCAMP4
SenMayo	SELPLG
SenMayo	SEMA3F
SenMayo	SERPINB4
SenMayo	SERPINE2
SenMayo	SPP1
SenMayo	SPX
SenMayo	TIMP2
SenMayo	TNF
SenMayo	TNFRSF10C
SenMayo	TNFRSF11B
SenMayo	TNFRSF1A
SenMayo	TNFRSF1B
SenMayo	TUBGCP2
SenMayo	VEGFA
SenMayo	VEGFC
SenMayo	VGF
SenMayo	WNT16
SenMayo	WNT2
