"","Gene","Correlation","P_value","SYMBOL","fdr"
"1","1",-0.305945285222057,0.000341892353547462,"A1BG",0.00165970466679643
"2","10",0.307005953937246,0.00032520535668162,"NAT2",0.00158940283109313
"3","100",0.24757867483022,0.00406420604957909,"ADA",0.0143161288393766
"4","1000",-0.462569915268768,2.07612957352398e-08,"CDH2",4.15426385876651e-07
"5","10000",0.151258032684376,0.0822212536804323,"AKT3",0.179672788378763
"6","100008587",-0.147085277271954,0.0911313123630907,"RNA5-8SN5",0.194378250649852
"7","100008588",-0.233291629104953,0.00688306832377587,"RNA18SN5",0.0225866006871648
"8","100008589",-0.180965530932698,0.037111117209091,"RNA28SN5",0.0939638184180697
"9","100009605",0.119051064153313,0.172296057196452,"TRF-GAA2-1",0.311553668870286
"10","100009607",-0.0192749341962507,0.825706390158428,"TRH-GTG1-6",0.89724049895601
"11","100009613",-0.159481767869922,0.0667094375849498,"LINC02584",0.151556674836686
"12","100009667",-0.0404633790125258,0.643772229114962,"POU5F1P5",0.772767440491343
"13","100009676",-0.137457320695346,0.114618346036015,"ZBTB11-AS1",0.231640002509455
"14","10001",-0.0267053768101855,0.760268130288229,"MED6",0.85341944435239
"15","10002",-0.00194237680024551,0.982297069422243,"NR2E3",0.991268617510888
"16","10003",0.386234671983117,4.3965148622914e-06,"NAALAD2",3.80503384949448e-05
"17","100033411",-0.00180898128133758,0.9835126662531,"DUXB",0.991919268814838
"18","100033413",-0.114136200136519,0.190826771129964,"SNORD116-1",0.336366423369754
"19","100033414",-0.0834834540738627,0.339396120565094,"SNORD116-2",0.506299728851627
"20","100033415",-0.112878074963418,0.195795270618027,"SNORD116-3",0.342936502515125
"21","100033416",-0.296647321406175,0.000525922103534042,"SNORD116-4",0.00242692738549404
"22","100033417",-0.0112979085126382,0.897303797554854,"SNORD116-5",0.940277866490412
"23","100033418",-0.126566149990098,0.14658538971102,"SNORD116-6",0.276902072769975
"24","100033419",-0.179763890720003,0.0384086268292705,"SNORD116-7",0.096695249138291
"25","100033420",-0.00150594124837313,0.986274323313269,"SNORD116-8",0.993676850216499
"26","100033421",-0.111353747548848,0.201939772650003,"SNORD116-9",0.35056317097687
"27","100033424",-0.122757210776158,0.15922827304799,"SNORD116-12",0.295085384896269
"28","100033425",-0.0821656558773184,0.347101136097873,"SNORD116-13",0.514253776686227
"29","100033426",0.0623981091953664,0.475528289321726,"SNORD116-14",0.633884773077279
"30","100033427",-0.00246175266685806,0.977564552074742,"SNORD116-15",0.988174703920431
"31","100033428",0.0544756524033327,0.533431515215231,"SNORD116-16",0.682953829342248
"32","100033429",-0.014626055503685,0.867297160313533,"SNORD116-17",0.923356922819108
"33","100033430",-0.0422701121310935,0.629026727622983,"SNORD116-18",0.760818301626581
"34","100033431",-0.13944369082773,0.109422468423566,"SNORD116-20",0.22359246660001
"35","100033432",-0.130384571716917,0.134688104292641,"SNORD116-21",0.260149061279669
"36","100033433",0.0375422880871435,0.667906324192561,"SNORD116-22",0.790811773200319
"37","100033434",-0.116987091573632,0.179908972502017,"SNORD116-23",0.32207018477819
"38","100033435",0.0771872249815302,0.3771918174366,"SNORD116-24",0.543203400900313
"39","100033436",-0.0874589480040873,0.316814885597529,"SNORD116-25",0.483501878190313
"40","100033438",-0.0852277121214521,0.32936579870715,"SNORD116-26",0.496858474995872
"41","100033439",-0.0748117220774591,0.392093486073303,"SNORD116-27",0.557448292279338
"42","100033460",-0.0963746709812536,0.269798586711167,"SNORD115-20",0.433004595623962
"43","100033819",-0.0716598650016972,0.412401147384789,"MIR675",0.575826347287546
"44","100033820",-0.0776037175967668,0.374615163687649,"SNORD116-28",0.540549236975702
"45","100033821",-0.0238282357726328,0.785433389364324,"SNORD116-29",0.871409080958286
"46","100034743",-0.0164714411053095,0.850737431012798,"PDZK1P1",0.912554198080244
"47","100037417",-0.238843273474993,0.00562868112276044,"DDTL",0.0189716937385631
"48","100038246",0.0952408513226506,0.275499945976001,"TLX1NB",0.43728642868401
"49","10004",-0.0956657755190353,0.273353786739283,"NAALADL1",0.43728642868401
"50","100048912",0.101479910514663,0.245121948305537,"CDKN2B-AS1",0.403238070851817
"51","100049076",-0.211380616509318,0.0145894105472012,"GUSBP17",0.043062983717885
"52","100049587",-0.0163158506332407,0.852131231378877,"SIGLEC14",0.913370919837778
"53","100049613",-0.079072502533331,0.365614620766519,"TRK-TTT3-4",0.53231125513924
"54","100049614",0.118351823611646,0.174848038833612,"TRV-CAC1-5",0.315135346714325
"55","100049716",0.388774029300232,3.7551425381051e-06,"NINJ2-AS1",3.32752458591855e-05
"56","10005",-0.0562374930401182,0.520256875246326,"ACOT8",0.672684044599586
"57","10006",0.509825046671739,3.6634813997103e-10,"ABI1",1.54537390952665e-08
"58","10007",0.224495712044532,0.00938178784134641,"GNPDA1",0.029453892402962
"59","10008",0.396296284920307,2.33557701689397e-06,"KCNE3",2.20810925497965e-05
"60","10009",0.42188726995543,4.24423882609106e-07,"ZBTB33",5.2003689030996e-06
"61","100093630",0.0514497400706715,0.556440852000773,"SNHG8",0.7027789459446
"62","100093631",0.433989666202168,1.80161161343178e-07,"GTF2IP4",2.55383645382403e-06
"63","1001",-0.0339953453060501,0.697671931696008,"CDH3",0.811877388997363
"64","10010",0.409600161656656,9.79604137405729e-07,"TANK",1.05146503010114e-05
"65","100101148",0.2503147524911,0.00366162011718489,"FKBP6P1",0.0130959670616153
"66","100101266",0.0529560762459651,0.544926899366816,"HAVCR1P1",0.692749016721769
"67","100101267",-0.223637977225542,0.00966376208050895,"POM121C",0.030204722430369
"68","100101440",0.0451448739069956,0.605865029735247,"PMS2P7",0.741458253463302
"69","100101467",0.39531512115567,2.48646378961611e-06,"ZSCAN30",2.33016374812074e-05
"70","100101478",-0.178497542348242,0.0398170455950195,"H2BW3P",0.0996508124810133
"71","10011",-0.353606731629711,2.97716730926271e-05,"SRA1",0.00019877357894868
"72","100113378",0.111220135939357,0.202484905644378,"SNORD119",0.351147525055965
"73","100113379",0.0433072079768297,0.620627669898431,"SNORD121A",0.753724663897754
"74","100113380",-0.194962286980361,0.0245241947004436,"SNORD125",0.0667808968041973
"75","100113381",-0.145775830812865,0.0940803375780205,"SNORD19B",0.199152631854488
"76","100113382",-0.100684652247098,0.248859327654005,"SNORD105B",0.407928999243397
"77","100113384",0.201012806407711,0.020338509134552,"SNORD123",0.0571187200461804
