"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"FLG",625.729804206964,10.8623090835005,2.15296879206834,5.04527010494431,4.52881132628136e-07,2.1376945770132e-06,"FLG"
"SIM2",174.076739474738,10.4569028022635,1.45911240786553,7.16661906642302,7.6872543705608e-13,7.40223463159078e-12,"SIM2"
"OPCML",139.154697184316,10.1325605853875,1.98379355229457,5.1076688769694,3.26157556466846e-07,1.58310984561922e-06,"OPCML"
"SFRP4",126.439894514921,9.99423297124841,2.11143099577195,4.73339313065947,2.2079724146279e-06,9.49807514993542e-06,"SFRP4"
"DOPEY1",122.290071621017,9.94782915693114,1.46395746533431,6.79516269597317,1.08190363146914e-11,9.17565695035958e-11,"DOPEY1"
"NFATC4",315.632739175918,9.87044560099221,1.45221962724491,6.79679947565371,1.06968818864153e-11,9.08436685577656e-11,"NFATC4"
"ZNF626",110.308665606069,9.7975661759977,2.92619089205616,3.34823206599252,0.000813288784796796,0.00219412694139791,"ZNF626"
"PLD5",107.439504277151,9.76028088410318,1.57084276707706,6.21340409662045,5.18488823212609e-10,3.68356588477607e-09,"PLD5"
"PLXDC2",258.928106287641,9.58565140607437,1.45788123537811,6.57505644044338,4.86347162121174e-11,3.86300366461476e-10,"PLXDC2"
"KCNJ6",93.4277481608042,9.55811326911415,2.12305483769328,4.50205670593942,6.7299019018233e-06,2.67020323318618e-05,"KCNJ6"
"HOXB7",85.5821859516511,9.4297641666828,1.47503096825228,6.3929262297834,1.62740788567416e-10,1.21261261386126e-09,"HOXB7"
"PADI2",233.782753565217,9.42843374755955,2.55667467633584,3.68777218111775,0.000226226053956267,0.00068370298006387,"PADI2"
"ITGB2",84.7823345766037,9.41761908089631,2.22690485022857,4.22901727477475,2.34714325019812e-05,8.51145399941486e-05,"ITGB2"
"TNXA",76.3929424411133,9.26659109426965,1.67221828954403,5.54149607871852,2.9989829260873e-08,1.67894759699288e-07,"TNXA"
"DKK2",64.7615757778843,9.0295124303269,2.33100648770676,3.87365392500907,0.000107215635963087,0.000346265565269845,"DKK2"
"LYPD6B",174.926124054102,9.01459703352052,1.8556569065362,4.8579007260277,1.18636862078868e-06,5.29446074689225e-06,"LYPD6B"
"HAPLN1",807.198400925818,8.90611531980447,1.77667817254844,5.01279041832866,5.3646318628825e-07,2.5085715972941e-06,"HAPLN1"
"DPT",59.2436980161436,8.9034704003297,1.47307683707083,6.04413169514904,1.50216777395437e-09,1.01043182129827e-08,"DPT"
"HOXB6",150.451204880415,8.8001536801932,1.45459494432054,6.04989981200841,1.44935940468192e-09,9.77536693308634e-09,"HOXB6"
"SNORA53",2536.15990625791,8.79202027017142,0.474525140858871,18.5280389027613,1.2267711468601e-76,1.59965846004112e-74,"SNORA53"
"C5orf46",148.437318456816,8.78007020643692,1.54585559237924,5.67974799827415,1.34893334731238e-08,7.95381424477454e-08,"C5orf46"
"HOXB9",51.5413423640017,8.69838477509367,1.49765465855203,5.80800435228737,6.3221873601601e-09,3.90627548738816e-08,"HOXB9"
"LINC00607",46.8458143839817,8.56114234776268,1.4759980290664,5.80023968810974,6.62201974222217e-09,4.07343700899937e-08,"LINC00607"
"CDH10",44.7275022224981,8.49212285551531,1.53679359046917,5.52587081842442,3.27855309322082e-08,1.82485227305195e-07,"CDH10"
"HOXB8",44.3117000980629,8.48054048427127,1.57801997866878,5.3741654724964,7.69381788062696e-08,4.06719646240238e-07,"HOXB8"
