"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","gene"
"A2M",110.632560474351,-2.30021435972199,0.290899413757747,-7.90724989785487,2.6313707377692e-15,1.51112445004437e-12,11.8206997674665,"A2M"
"A4GALT",406.159433533738,-0.511542680599572,0.202275983848982,-2.52893433449562,0.0114409430175362,0.13393299497298,0.873112419481796,"A4GALT"
"AAAS",351.168308484265,0.27953942869503,0.141337097260688,1.97782064378637,0.0479489437653825,0.320276444353464,0.494475001590626,"AAAS"
"AACS",134.879338854361,0.411350145359229,0.23551462832631,1.74660125480314,0.0807065294045071,0.415165428540937,0.381778818018492,"AACS"
"AADAT",42.3121868451848,0.259155298840377,0.295289230146399,0.877632071822912,0.380143418649712,0.790671779922596,0.102003761446087,"AADAT"
"AAGAB",509.784433314685,0.174311729008446,0.207623296379119,0.839557660669033,0.401156446782672,0.803318946115053,0.09511199016819,"AAGAB"
"AAK1",40.1022354552074,-0.0152191352958597,0.295223000584126,-0.0515513197337175,0.958886208949021,0.991778007684154,0.00358552625998463,"AAK1"
"AAMP",677.509426282235,-0.141532795809425,0.15996550061407,-0.884770749105983,0.376280288731178,0.789470321879809,0.102664191540544,"AAMP"
"AARS",2024.47506528001,-0.166344109684636,0.186382763633873,-0.892486549944068,0.372132198801528,0.787556800108393,0.103718114256998,"AARS"
"AARS2",61.7384170191311,0.553520142747019,0.310313928305306,1.78374250156903,0.0744655165054667,0.40060988755433,0.397278335977808,"AARS2"
"AASDH",22.7941155705639,-0.822708005032855,0.387188250912981,-2.12482688483684,0.0336010606244431,0.26291272585513,0.580188392079634,"AASDH"
"AASDHPPT",273.299529025896,-0.17959462644165,0.315759079689147,-0.568771059943721,0.569511516797077,0.887092652350422,0.0520310179325338,"AASDHPPT"
"AASS",30.7473683004469,-0.652512714364668,0.378892275669216,-1.7221589255473,0.0850407331710999,0.427443784675052,0.369120993475595,"AASS"
"AATF",671.524447148449,0.34773785784351,0.185900302828461,1.87056100798494,0.0614059534289656,0.364055755805514,0.438832098262121,"AATF"
"ABAT",211.989846701327,-0.356377255985337,0.312200639271245,-1.14150072471732,0.25366161058235,0.692172956392529,0.15978537285312,"ABAT"
"ABCA1",98.7604983615769,-1.99262037002732,0.277366258110006,-7.18407633143694,6.76630557870838e-13,1.85838053655221e-10,9.73086535169697,"ABCA1"
"ABCA2",499.204141053455,-0.0776359883613729,0.217187581522645,-0.357460531661558,0.72074706814585,0.934424434442713,0.0294558136339731,"ABCA2"
"ABCA3",31.4657174671244,0.156855369648165,0.425359777315536,0.368759290401378,0.712307150935508,0.932182364296582,0.030499117624339,"ABCA3"
"ABCA5",43.3589168975314,-0.414526750143322,0.370781340789757,-1.11798169039571,0.263574813351274,0.701110141069515,0.154213751075703,"ABCA5"
