"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"EPHA5",724.500388711162,12.3277209523469,1.47147726196493,8.37778555673033,5.39327942757354e-17,1.89601410568797e-15,"EPHA5"
"TNXA",342.531749670667,11.2461849040813,1.46615625467549,7.67052274832086,1.71296783301535e-14,4.54796543280289e-13,"TNXA"
"TNXB",1544.56948703789,10.3899548268093,0.872622891520438,11.9065806407005,1.09370993585425e-32,1.23931007106484e-30,"TNXB"
"KRT14",5050.37138017219,10.0902012873503,0.779363921861166,12.9467133444596,2.45230282089774e-38,4.09502303947542e-36,"KRT14"
"PSMD5",136.330318827672,9.91588914633058,1.47081861906235,6.74174845070426,1.5649185156888e-11,3.00005753513694e-10,"PSMD5"
"ADH1B",102.00336935806,9.49842339287326,2.12662228540937,4.46643649793449,7.9533255296209e-06,6.13904299258765e-05,"ADH1B"
"ABCA8",98.5854187161998,9.45898405156007,1.47469394140834,6.41420147324038,1.41562893118414e-10,2.41800091058652e-09,"ABCA8"
"HAPLN1",1248.83247726269,9.34604127090069,0.686197422243376,13.6200471875074,3.04371013313092e-42,6.33241398353516e-40,"HAPLN1"
"GSTM1",86.315913479275,9.25949541359286,1.48140259890876,6.25049221623726,4.09161126696919e-10,6.57299222646911e-09,"GSTM1"
"PI16",457.171303111818,9.21820297473165,1.04437325808471,8.82654061023833,1.07963158450722e-18,4.30868064118903e-17,"PI16"
"OPCML",68.4998476880826,8.93439865525464,1.50377341315035,5.94131973415955,2.82736536597136e-09,4.04989772681066e-08,"OPCML"
"DMD",66.8416311370917,8.89791029418828,1.47270414601981,6.04188581816392,1.52323251530192e-09,2.26627712212153e-08,"DMD"
"HOXB7",65.2293495315756,8.84101794330331,1.47451257702812,5.99589184998502,2.02371676215557e-09,2.96570316726517e-08,"HOXB7"
"FGL2",52.896755533449,8.55448442554425,1.49366744052604,5.72716803851032,1.02121003881696e-08,1.35708655524881e-07,"FGL2"
"KCND2",52.3396699132187,8.54625215361448,1.50423618038603,5.68145631985881,1.33552625146218e-08,1.74733645951614e-07,"KCND2"
"LINC00162",141.303018984068,8.51779165569965,1.46053360146085,5.83197240185371,5.47759804343422e-09,7.54790410089291e-08,"LINC00162"
"KCNA4",47.8766225668152,8.409202344658,1.89191120937558,4.44481871188524,8.79660126732562e-06,6.72516064359213e-05,"KCNA4"
"ABCA6",47.6121158935421,8.40383351379208,1.48135223882878,5.6730825346688,1.40250615168877e-08,1.83119398879446e-07,"ABCA6"
"HLA-B",1286.7840615799,8.38752810793845,0.556485184111419,15.0723295919036,2.46273783497501e-51,1.0418201954556e-48,"HLA-B"
"HOXB6",126.886407640017,8.36430549042673,1.45654508182978,5.74256546863561,9.32528063791184e-09,1.24444938565446e-07,"HOXB6"
"HLA-C",2350.98776280143,8.33075002389703,0.408372709829543,20.3998695881865,1.67662090484063e-92,3.5463326505554e-89,"HLA-C"
"TNFSF15",45.6061648639635,8.33041245990682,1.50853635899014,5.52218208746618,3.348152391378e-08,4.06616287071562e-07,"TNFSF15"
"HOXB5",44.1057224135577,8.29270423570198,1.53450723205173,5.40414803038375,6.51171518613617e-08,7.55394674837789e-07,"HOXB5"
"LRRC32",237.017745025674,8.27312663760735,1.04524070003345,7.91504448433996,2.47164703669406e-15,7.3288954538982e-14,"LRRC32"
"EN1",227.84411942862,8.21139438123321,1.0548584078531,7.78435695265062,7.00686717054936e-15,1.95009103643513e-13,"EN1"
"PADI2",109.387843683009,8.15431043927717,1.490501296221,5.47085095460936,4.47879845049367e-08,5.30227902380739e-07,"PADI2"
"MID1",38.1529958625072,8.09184785887849,1.48464519025454,5.45035804648459,5.02685130097819e-08,5.9124902558586e-07,"MID1"
"DEPTOR",836.140935759412,8.08583116031264,0.56919026772873,14.2058492893386,8.42747156501653e-46,2.37673425848055e-43,"DEPTOR"
"CDH10",35.9851127300648,7.97483121619812,1.50089554195633,5.3133819065139,1.07609182463745e-07,1.19900626395732e-06,"CDH10"
"ABCA9",88.2863781980026,7.85127363817417,1.47034191005436,5.33976049005086,9.30694548031449e-08,1.048973757466e-06,"ABCA9"
"SFRP4",30.502184070239,7.74791839535147,1.49891255412549,5.16902628777557,2.35316800078667e-07,2.46436080547605e-06,"SFRP4"
"CYTIP",29.4017580620778,7.69635263964882,1.49081048739843,5.1625291777223,2.43635384179293e-07,2.54483675771145e-06,"CYTIP"
"THSD7B",28.8817936842443,7.69315473293973,1.54074151978691,4.99315078755306,5.94021433884832e-07,5.80348423204958e-06,"THSD7B"
"SFTA1P",79.7538310318208,7.69054713624932,1.4658177817527,5.24659151497918,1.54938902890197e-07,1.67204899369004e-06,"SFTA1P"
"CPE",474.663104971278,7.68895372735362,0.646505416816324,11.8931002391556,1.28544828211492e-32,1.44368355294872e-30,"CPE"
"NAV2",26.6608094401949,7.57714346362939,1.4985235310016,5.05640606028048,4.27231165875019e-07,4.30658516768853e-06,"NAV2"
"LEP",27.0049012616016,7.57321612270259,1.49919296388136,5.05152859248737,4.38288311202479e-07,4.40754117073745e-06,"LEP"
"LOC644172",26.8305821530125,7.56625942537817,1.51410121677272,4.99719526116326,5.81701603788949e-07,5.68750004136021e-06,"LOC644172"
"FGF9",25.5005128821849,7.49919188139944,2.75035070415591,2.72663114200956,0.00639845209585666,0.0211520592728619,"FGF9"
"TEKT4P2",69.8816251007275,7.48778999330146,1.48788819065462,5.03249507613008,4.84137045341475e-07,4.83413315690689e-06,"TEKT4P2"
"SCRG1",68.0740207835123,7.48076487629543,1.49507190088243,5.00361545948397,5.62649404268001e-07,5.50970955984969e-06,"SCRG1"
"ASPN",68.5029402150802,7.4686460637669,1.82176110468559,4.0996846647771,4.13713449199537e-05,0.00026980664870459,"ASPN"
"CST1",24.5743770051453,7.45415480676991,1.53157031507962,4.86700136022316,1.13304249513528e-06,1.05266781154919e-05,"CST1"
"LRRC17",199.508489011493,7.43076443867554,0.875858216013511,8.48398097182537,2.17617362989153e-17,7.84597145936175e-16,"LRRC17"
"PDE10A",23.2120748555547,7.36791281902453,1.50247631761372,4.90384622549426,9.39780702506829e-07,8.92721324514533e-06,"PDE10A"
"PPL",23.0157185581325,7.36333793193723,1.50987812084406,4.87677636379082,1.07833571528671e-06,1.0084862610688e-05,"PPL"
"LINC00607",23.2222573200279,7.35124394705369,1.50528903893112,4.88360956396368,1.04161228339307e-06,9.7774419293946e-06,"LINC00607"
"PLEKHH2",22.8611245826492,7.34932991248386,1.50589617171693,4.88036961014691,1.05887203171699e-06,9.91013639713888e-06,"PLEKHH2"
"LYPD6B",62.63921396234,7.34913230359994,1.48321630323025,4.95486213817534,7.23815904690475e-07,6.96961126436025e-06,"LYPD6B"
"HOXD3",22.5029627023274,7.32454310152455,1.50057868010409,4.88114565309997,1.05471303097058e-06,9.87849673509047e-06,"HOXD3"
"DKK2",22.0959730713377,7.31855662865022,1.53050768680471,4.78178364718271,1.73746621461116e-06,1.54738131436001e-05,"DKK2"
"LGR5",58.3355667775507,7.24394064136598,1.46993089734731,4.9280824387314,8.30405806324586e-07,7.92978185708451e-06,"LGR5"
"RIMS1",840.478212035356,7.18491583641463,0.445398646929594,16.1314271741611,1.53433446625664e-58,9.73611935563148e-56,"RIMS1"
"CYTL1",19.0876428189724,7.07482585673007,1.51875617152375,4.65830262248876,3.18827291850727e-06,2.67962725885932e-05,"CYTL1"
"HOXB-AS3",18.9798816303789,7.05696181674455,1.51565420397705,4.65605003979617,3.22333622943613e-06,2.70015578137122e-05,"HOXB-AS3"
"HOXB2",50.5017624667605,7.02752861646691,1.47512635125605,4.76401808596467,1.89775483888045e-06,1.66674094534476e-05,"HOXB2"
"LUZP2",18.4412754100501,7.02559912641308,1.51989930764882,4.62241089989127,3.79305746452599e-06,3.1319253274105e-05,"LUZP2"
"HGD",18.0621242207717,7.00690043698094,1.51672225770202,4.61976502381989,3.84174876579193e-06,3.1618439420665e-05,"HGD"
"TSHZ2",17.6764952973922,7.00133723489017,1.58019612979374,4.43067610588569,9.39380952926312e-06,7.13873273867535e-05,"TSHZ2"
"SNORA53",827.314125769346,6.98958665261368,2.13928303161244,3.2672566225823,0.00108595193650248,0.00471980000895649,"SNORA53"
"HOXD-AS1",18.0010683096888,6.97307855828103,1.54592744423483,4.51061179118429,6.46409243175588e-06,5.08906929599342e-05,"HOXD-AS1"
"NFATC2",16.9852998106747,6.93424985328519,1.5323380533527,4.52527419658692,6.03172515795065e-06,4.7664149426869e-05,"NFATC2"
"MYCT1",47.189478923141,6.92923143542975,1.50023046635797,4.61877797499439,3.86006613352302e-06,3.1728043588433e-05,"MYCT1"
"PCSK9",16.1012443369382,6.82781872150846,1.52103101447112,4.48894115672099,7.15780640674783e-06,5.57983544889661e-05,"PCSK9"
"HOXB8",15.3189789336419,6.78365020582329,1.5711987698137,4.31749969268856,1.57806628358421e-05,0.000113084354629967,"HOXB8"
"FAM149A",15.1599573158646,6.75012871188114,1.52583876066068,4.42388074409538,9.69435472884189e-06,7.34513766350641e-05,"FAM149A"
"BCHE",15.0481577316145,6.74795725877691,1.54420571887767,4.36985640985795,1.24328262831725e-05,9.14165691539644e-05,"BCHE"
"WISP1",15.2459863981944,6.72924754187161,1.5384465600814,4.37405348776988,1.21960475685952e-05,8.98838790319636e-05,"WISP1"
"SCN3A",14.6131467948436,6.72217781366201,1.55558134671547,4.32132837530839,1.55092660316444e-05,0.000111328108149094,"SCN3A"
"CDH8",14.5786564522912,6.70038286887626,1.52708897839183,4.38768333979622,1.14564410037782e-05,8.52748931254834e-05,"CDH8"
"MGAM",14.2301268485217,6.63792313681752,1.55680994975605,4.26379799143605,2.00981158571431e-05,0.000140531784211021,"MGAM"
"VSNL1",14.1699481307156,6.63250247534141,1.53098026054187,4.33219333147635,1.47631215892533e-05,0.000106696341736454,"VSNL1"
"TSLP",14.1227903758713,6.62785090424448,1.53666340410906,4.31314423609069,1.60949040079535e-05,0.000115080844496751,"TSLP"
"GRIN3A",13.4293562627632,6.59960095442937,1.61101177334265,4.09655662586253,4.19340949291773e-05,0.000273055720239194,"GRIN3A"
"COL14A1",13.4856029928297,6.55614355392913,1.54760975058018,4.2363028221238,2.27230279749805e-05,0.00015681236978275,"COL14A1"
"MYH1",12.743990838301,6.53522867237503,1.58657897579409,4.11906925030575,3.80405821161204e-05,0.000250660969696617,"MYH1"
"HOXB4",35.6804129794639,6.52646524426814,1.4824592213442,4.40245852992189,1.07031052791333e-05,8.02321967498412e-05,"HOXB4"
"ERBB4",12.785084386932,6.50776256974626,1.53843608003052,4.23011567020527,2.33571179133674e-05,0.000160838406640557,"ERBB4"
"ZNF385D",169.537326594654,6.46529470747994,0.701065152044652,9.22210252303079,2.91330715617288e-20,1.3643092663834e-18,"ZNF385D"
"SRGAP3",12.2260023601849,6.44723515640102,1.60289003404004,4.02225668603787,5.76431885318622e-05,0.000358954713276675,"SRGAP3"
"UNC13A",97.1291280018935,6.39958268757876,0.906558038387308,7.05920902644368,1.67453022872355e-12,3.58977417782612e-11,"UNC13A"
"ABI3BP",5570.53811103715,6.39071101064262,0.196639867365134,32.4995693715351,1.08132709895823e-231,1.37231222128789e-227,"ABI3BP"
"ASB2",11.7358002225674,6.38380049831283,1.62949381664855,3.91765862078732,8.94132091060723e-05,0.000529511449727094,"ASB2"
"GPR158",31.8923199705309,6.37465417136581,1.48084825211297,4.30473153631374,1.67188355140327e-05,0.000119201540173365,"GPR158"
"MEOX2",31.5976023770128,6.37366568271683,1.49437353095133,4.26510879020943,1.99804821315664e-05,0.000139863374920965,"MEOX2"
"RGS7BP",158.00135165893,6.35442320941796,1.13486178349391,5.59929262033523,2.15228231856445e-08,2.70997079230038e-07,"RGS7BP"
"PLA2G2A",11.1829540780482,6.32368564348571,1.56003569656553,4.0535518882084,5.04458043435283e-05,0.000320745342146151,"PLA2G2A"
"CSF2RB",91.7276563236529,6.31761198208631,0.91241227841971,6.92407602518059,4.38830209379793e-12,8.98257126974024e-11,"CSF2RB"
"STOX2",10.9646220117497,6.31094224076166,1.59614234431277,3.95387182305401,7.68966145168377e-05,0.000460762481035499,"STOX2"
"FGF13",11.0994632608268,6.30195945295263,2.49236858059853,2.52850220549612,0.0114550366739786,0.0342060871598735,"FGF13"
"CCDC110",10.795878114748,6.28284194281109,1.56238768761631,4.02130789471124,5.7875897122471e-05,0.000359957900961008,"CCDC110"
"PLEKHA7",11.1276532158064,6.26861406040558,1.59513824668468,3.92982493738972,8.50077294871199e-05,0.000506019275291294,"PLEKHA7"
"BMP6",176.733291992504,6.25839923747562,0.725324576174154,8.62841194556869,6.22096654535038e-18,2.34971090556672e-16,"BMP6"
"HTR2A",29.3691779616,6.25476711321321,1.492900185577,4.18967535381192,2.79353835258614e-05,0.000189283476949657,"HTR2A"
"LPHN2",528.152821438666,6.24650494636205,0.420622982532133,14.8506030477896,6.89456452765035e-50,2.65148237637608e-47,"LPHN2"
"MSR1",10.6272795751092,6.2417031772945,2.49798053806405,2.49869968247705,0.0124649895248369,0.0367293201903192,"MSR1"
