"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR",261,0.581733647561807,1.99580241344862,9.33099560524245e-11,2.98591859367758e-09,1.37509408919362e-09,2505,"tags=38%, list=19%, signal=32%","EYA1/RAD54L/ESCO2/PLK1/CDC45/BRIP1/GINS4/HELB/GINS2/RAD51AP1/FANCD2/FOXM1/CDCA5/EID3/UHRF1/TRIP13/AGER/SPIRE2/CDC7/MCM5/TONSL/POLQ/DMC1/PARP9/DDX11/MCM2/EME1/DPF3/PARPBP/BLM/XRCC2/RPA4/BRCA2/XRCC3/AUNIP/SKP2/FEN1/POLM/FANCB/RAD51/BRCA1/MCM7/MCM3/PARP1/RAD54B/CHEK1/HMGB2/MCM6/FIGNL1/MCM4/DPF1/MAD2L2/NABP1/NSMCE4A/RTEL1/SFPQ/TDP1/RMI2/RAD52/HMGB1/USP51/MCM8/HUS1B/DNA2/POLL/RFWD3/POLA1/RUVBL1/DTX3L/PARP2/ATRIP/PPP5C/SMARCA2/RAD51B/SMARCE1/FH/MPND/TIMELESS/RECQL4/XRCC5/FANCM/TOP2B/RECQL5/RUVBL2/SMC6/TOP3A/SAMHD1/SMARCB1/C1QBP/MCM9/PARP3/PRKDC/SMARCC1/BRCC3/FMN2/GEN1/TOPBP1/ACTL6A/TRRAP/SWSAP1"
"GOBP_DNA_REPAIR","GOBP_DNA_REPAIR","GOBP_DNA_REPAIR",524,0.49815728317905,1.75525177727421,2.85279015396981e-10,4.5644642463517e-09,2.10205590292513e-09,2440,"tags=30%, list=19%, signal=25%","EYA1/USP44/USP43/RAD54L/ESCO2/PLK1/CDC45/CDK1/BRIP1/FANCA/DTL/GINS4/CLSPN/ERCC6L/HELB/GINS2/RAD51AP1/FANCD2/FOXM1/CDCA5/EID3/PTTG1/UHRF1/FANCI/EXO1/TRIP13/AGER/SPIRE2/CDC7/MCM5/TONSL/POLQ/TICRR/DMC1/PARP9/DDX11/NEIL3/MCM2/UBE2T/EEPD1/EME1/DPF3/PARPBP/BLM/XRCC2/RPA4/POLE2/BRCA2/XRCC3/AUNIP/SKP2/RFC3/TRAIP/RFC4/FEN1/POLM/FANCB/RAD51/BRCA1/RNASEH2A/MCM7/MCM3/PARP1/POLE/RAD54B/MSH5/POLD1/CHEK1/HMGB2/MCM6/FIGNL1/SUV39H1/WDHD1/PIF1/MCM4/DPF1/MAD2L2/NABP1/CDK2/NSMCE4A/RTEL1/LIG1/TOP3B/XPC/SFPQ/KIF22/TDP1/TREX1/RMI2/RAD52/CHAF1A/HMGB1/FANCF/FANCL/GTF2H2C/USP51/MCM8/TAF4/HUS1B/BARD1/DNA2/POLL/RFWD3/POLA1/TTF2/INO80D/CHAF1B/RUVBL1/DTX3L/PARP2/ATRIP/PPP5C/SMARCA2/RAD51B/SMARCE1/FH/CUL4B/MPND/NPM1/ETAA1/FANCE/TRIM28/TIMELESS/NTHL1/RECQL4/SSRP1/XRCC5/FANCM/TOP2B/RECQL5/FANCC/INO80E/CBX8/RUVBL2/SMC6/TOP3A/SAMHD1/SMARCB1/C1QBP/MCM9/MC1R/SMC3/TAF5/PARP3/PRKDC/SMARCC1/SF3B3/FANCG/PARP4/RRM1/BRCC3/FMN2/GEN1/TOPBP1/RFC2"
"GOBP_RECOMBINATIONAL_REPAIR","GOBP_RECOMBINATIONAL_REPAIR","GOBP_RECOMBINATIONAL_REPAIR",158,0.619716108260153,2.06432054384367,3.04201988402771e-09,3.24482120962956e-08,1.49432555706624e-08,2545,"tags=42%, list=20%, signal=34%","RAD54L/PLK1/CDC45/GINS4/HELB/GINS2/RAD51AP1/EID3/UHRF1/CDC7/MCM5/TONSL/POLQ/DMC1/MCM2/PARPBP/BLM/XRCC2/RPA4/BRCA2/XRCC3/AUNIP/SKP2/FEN1/FANCB/RAD51/BRCA1/MCM7/MCM3/PARP1/RAD54B/CHEK1/MCM6/FIGNL1/MCM4/MAD2L2/NABP1/NSMCE4A/RTEL1/SFPQ/RMI2/RAD52/USP51/MCM8/HUS1B/POLL/RFWD3/RUVBL1/RAD51B/TIMELESS/RECQL4/XRCC5/FANCM/RECQL5/RUVBL2/SMC6/TOP3A/SAMHD1/C1QBP/MCM9/GEN1/TOPBP1/ACTL6A/TRRAP/SWSAP1/MAGEF1"
"KAUFFMANN_DNA_REPAIR_GENES","KAUFFMANN_DNA_REPAIR_GENES","KAUFFMANN_DNA_REPAIR_GENES",209,0.528793022117889,1.7860189609858,1.48584363922261e-06,1.18867491137809e-05,5.47416077608331e-06,2440,"tags=34%, list=19%, signal=28%","RAD54L/RRM2/TOP2A/BRIP1/FANCA/RAD51AP1/FANCD2/PTTG1/EXO1/POLQ/DMC1/MAD2L1/NEIL3/EME1/BLM/XRCC2/RPA4/POLE2/BRCA2/XRCC3/RFC3/RFC4/FEN1/POLM/FANCB/RAD51/BRCA1/PARP1/POLE/RAD54B/MSH5/POLD1/CHEK1/HMGB2/MAD2L2/POLA2/SMC4/LIG1/TOP3B/XPC/TDP1/TREX1/RAD52/CHAF1A/HMGB1/FANCF/FANCL/POLG2/POLL/POLA1/CHAF1B/PARP2/RAD51B/FANCE/NTHL1/RECQL4/SSRP1/XRCC5/FANCM/TOP2B/RECQL5/FANCC/RUVBL2/TOP3A/SMC3/PARP3/PRKDC/FANCG/PARP4/RRM1/TOPBP1/RFC2"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",119,0.57179214180257,1.84140681106682,1.77026276606433e-05,0.000113296817028117,5.21761657366329e-05,2440,"tags=38%, list=19%, signal=31%","EYA1/BRIP1/CLSPN/RAD51AP1/EXO1/CCNA2/POLQ/EME1/BLM/XRCC2/POLE2/BRCA2/XRCC3/RFC3/RFC4/FEN1/POLM/RAD51/BRCA1/PARP1/POLE/POLD1/CHEK1/FIGNL1/CDK2/RTEL1/TDP1/RMI2/RAD52/KPNA2/BARD1/DNA2/POLL/PARP2/ATRIP/PPP5C/RAD51B/TIMELESS/XRCC5/TOP3A/PRKDC/BRCC3/GEN1/TOPBP1/RFC2"
"REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR",90,0.594627623491001,1.87564312876748,4.29753649855952e-05,0.000229201946589841,0.000105553528034795,2440,"tags=41%, list=19%, signal=34%","BRIP1/CLSPN/RAD51AP1/EXO1/CCNA2/POLQ/EME1/BLM/XRCC2/POLE2/BRCA2/XRCC3/RFC3/RFC4/FEN1/RAD51/BRCA1/PARP1/POLE/POLD1/CHEK1/FIGNL1/CDK2/RTEL1/RMI2/RAD52/BARD1/DNA2/PARP2/ATRIP/RAD51B/TIMELESS/TOP3A/BRCC3/GEN1/TOPBP1/RFC2"
"GOBP_INTERSTRAND_CROSS_LINK_REPAIR","GOBP_INTERSTRAND_CROSS_LINK_REPAIR","GOBP_INTERSTRAND_CROSS_LINK_REPAIR",32,0.713580136243909,1.90776552157518,0.00015061485992622,0.000602459439704878,0.000277448426179878,2374,"tags=53%, list=18%, signal=44%","FANCA/RAD51AP1/FANCD2/FANCI/NEIL3/XRCC3/FANCB/RAD51/FANCF/FANCL/MCM8/RFWD3/FANCE/FANCM/FANCC/MCM9/FANCG"
"REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR",259,0.466936060277315,1.60065521899031,0.000137438006080347,0.000602459439704878,0.000277448426179878,2499,"tags=28%, list=19%, signal=23%","EYA1/USP43/BRIP1/FANCA/DTL/CLSPN/RAD51AP1/FANCD2/FANCI/EXO1/CCNA2/POLQ/NEIL3/UBE2T/EME1/BLM/XRCC2/POLE2/BRCA2/XRCC3/RFC3/RFC4/FEN1/POLM/FANCB/RAD51/BRCA1/PARP1/POLE/POLD1/CHEK1/FIGNL1/MAD2L2/CDK2/RTEL1/LIG1/XPC/TDP1/RMI2/RAD52/KPNA2/FANCF/FANCL/BARD1/DNA2/POLL/INO80D/RUVBL1/PARP2/ATRIP/PPP5C/RAD51B/CUL4B/FANCE/TIMELESS/NTHL1/XRCC5/FANCM/FANCC/COPS6/INO80E/ISY1/TOP3A/TRIM25/PRKDC/FANCG/BRCC3/GEN1/TOPBP1/RFC2/UBE2L6/ACTL6A"
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK",111,0.536565491989906,1.71466653311782,0.00034421198683466,0.00122386484207879,0.000563621966746812,2110,"tags=32%, list=16%, signal=27%","BRIP1/FANCA/FANCD2/FANCI/EXO1/NEIL3/POLE2/BRCA2/RFC3/RFC4/FEN1/POLM/FANCB/RAD51/BRCA1/PARP1/POLE/RAD54B/POLD1/CHEK1/LIG1/XPC/RAD52/HMGB1/FANCF/FANCL/GTF2H2C/POLL/PARP2/CUL4B/FANCE/NTHL1/XRCC5/FANCM/FANCC"
"GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION",66,0.582826550250391,1.74668120577062,0.00109496540356532,0.00326939790100152,0.00150564377019807,2828,"tags=38%, list=22%, signal=30%","PLK1/HELB/RAD51AP1/POLQ/PARPBP/SKP2/FANCB/RAD51/PARP1/CHEK1/FIGNL1/MAD2L2/RTEL1/RMI2/USP51/RUVBL1/TIMELESS/RECQL5/RUVBL2/C1QBP/ACTL6A/TRRAP/MAGEF1/FUS/PRMT1"
