"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR",92,0.589091900060292,2.41259908126013,2.71955413321278e-10,8.7025732262809e-09,5.43910826642556e-09,3169,"tags=55%, list=25%, signal=42%","EME1/RAD51D/XRCC2/POLQ/EXO1/RFC3/FEN1/RAD51/CDK2/RFC5/FIGNL1/PALB2/RAD51AP1/TOPBP1/TOP3A/RBBP8/SLX4/POLE3/MDC1/RFC2/RAD9B/TIMELESS/XRCC1/PARP2/RFC1/PIAS4/POLD3/CLSPN/RMI1/XRCC3/POLE/RAD9A/UBE2V2/ERCC4/BRCA1/CCNA2/BRIP1/PPP4C/RAD17/RNF4/RPA1/ATRIP/DNA2/PARP1/TIPIN/POLD2/POLE2/UBE2N/NBN/RTEL1/ERCC1"
"GOBP_DNA_REPAIR","GOBP_DNA_REPAIR","GOBP_DNA_REPAIR",521,0.315543355101715,1.55108560450387,2.83728467253638e-09,4.53965547605821e-08,2.83728467253638e-08,3172,"tags=35%, list=25%, signal=27%","EME1/CDC7/RAD51D/BCL7A/RAD54L/FANCM/DTL/HMGA2/XRCC2/CHAF1B/RAD54B/RFWD3/MCM8/TICRR/KIF22/RECQL4/HMGA1/ACTR5/UBE2T/TRAIP/POLQ/CDCA5/EXO1/RFC3/ESCO2/RAD18/WDHD1/CDK1/FEN1/POLR2I/TRIP13/RAD51/TAF5/CDK2/LIG1/USP1/AUNIP/CDC45/RFC5/FIGNL1/ERCC6L/TOP3B/VCP/PARPBP/PSMD14/MCM5/PALB2/PLK1/RRM1/RNF113A/TAF5L/RAD51AP1/TOPBP1/TOP3A/DCLRE1B/RBBP8/NUDT1/NEIL1/DOT1L/SLX4/KAT2B/CDKN2D/FANCA/TAF6L/MDC1/PSME4/RFC2/MCM3/RAD9B/USP45/TONSL/TIMELESS/XRCC1/FANCC/TAF2/PARP2/RFC1/PIAS4/FANCI/UBQLN4/DPF1/GINS2/MORF4L2/HLTF/RNASEH2A/FBXW7/SUV39H1/POLD3/CLSPN/RMI1/XRCC3/CHEK2/UHRF1/POLE/MMS22L/SPRTN/USP7/RAD9A/FANCG/TERF2IP/UBE2V2/FOXM1/ERCC4/BRCA1/CHAF1A/ZMPSTE24/VPS72/STUB1/BRIP1/FZR1/PDS5A/SMC1A/ATXN7L3/PELI1/WRNIP1/GINS4/SMC6/MNAT1/RNF126/NEIL2/PPP4C/DCLRE1C/ACTR2/FANCE/LIG4/DCLRE1A/UVRAG/RAD17/ACTB/NSMCE4A/EXOSC10/TTF2/MEN1/CIB1/NUCKS1/EPC1/WRAP53/C1QBP/SIRT7/RPA1/ATRIP/REXO4/DNA2/APTX/AKTIP/ZFYVE26/MSH2/PARP1/SSRP1/FTO/NABP2/RNF138/CINP/COMMD1/POLD2/CDK9/HMGB1/SFPQ/POLE2/UBE2N/SUPT16H/SF3B3/TTC5/SENP3/MCM7/ALKBH1/NBN/ALKBH2/INO80C/KAT2A/ACTL6A/UCHL5/SETMAR/HINFP/TDP1/SMARCD2/RTEL1/MCM6/BRD7/OTUD4/NUDT16L1/ERCC1/MMS19"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",118,0.514525128170894,2.19729524839472,4.96019884849215e-09,5.29087877172496e-08,3.3067992323281e-08,3222,"tags=48%, list=26%, signal=36%","EME1/RAD51D/XRCC2/POLQ/EXO1/RFC3/FEN1/RAD51/CDK2/RFC5/FIGNL1/PALB2/RAD51AP1/TOPBP1/TOP3A/RBBP8/SLX4/POLE3/MDC1/RFC2/KPNA2/RAD9B/TIMELESS/XRCC1/PARP2/RFC1/PIAS4/POLD3/CLSPN/RMI1/XRCC3/CHEK2/POLE/RAD9A/UBE2V2/ERCC4/BRCA1/CCNA2/BRIP1/PPP4C/DCLRE1C/LIG4/RAD17/RNF4/RPA1/ATRIP/DNA2/PARP1/TIPIN/POLD2/POLE2/UBE2N/NBN/TDP1/RTEL1/ERCC1/XRCC6"
"GOBP_RECOMBINATIONAL_REPAIR","GOBP_RECOMBINATIONAL_REPAIR","GOBP_RECOMBINATIONAL_REPAIR",157,0.430574351327625,1.92686207375258,3.08623098457624e-07,2.468984787661e-06,1.54311549228812e-06,3222,"tags=43%, list=26%, signal=32%","CDC7/RAD51D/RAD54L/FANCM/XRCC2/RAD54B/RFWD3/MCM8/RECQL4/POLQ/FEN1/RAD51/AUNIP/CDC45/FIGNL1/PARPBP/PSMD14/MCM5/PALB2/PLK1/RAD51AP1/TOPBP1/TOP3A/RBBP8/SLX4/MCM3/TONSL/TIMELESS/PIAS4/UBQLN4/GINS2/MORF4L2/RMI1/XRCC3/UHRF1/MMS22L/TERF2IP/ERCC4/BRCA1/VPS72/PELI1/GINS4/SMC6/RNF126/PPP4C/ACTR2/ACTB/NSMCE4A/NUCKS1/EPC1/WRAP53/C1QBP/RPA1/ZFYVE26/PARP1/NABP2/RNF138/SFPQ/UBE2N/SENP3/MCM7/NBN/ACTL6A/RTEL1/MCM6/RECQL/XRCC6"
"GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR",260,0.348750209021398,1.62843326781535,2.26694891969798e-06,1.45084730860671e-05,9.06779567879193e-06,3222,"tags=38%, list=26%, signal=29%","EME1/CDC7/RAD51D/BCL7A/RAD54L/FANCM/HMGA2/XRCC2/RAD54B/RFWD3/MCM8/RECQL4/ACTR5/POLQ/CDCA5/ESCO2/FEN1/TRIP13/RAD51/AUNIP/CDC45/FIGNL1/VCP/PARPBP/PSMD14/MCM5/PALB2/PLK1/RAD51AP1/TOPBP1/TOP3A/DCLRE1B/RBBP8/SLX4/MCM3/TONSL/TIMELESS/XRCC1/PARP2/PIAS4/UBQLN4/DPF1/GINS2/MORF4L2/RMI1/XRCC3/CHEK2/UHRF1/MMS22L/TERF2IP/UBE2V2/FOXM1/ERCC4/BRCA1/VPS72/BRIP1/PELI1/GINS4/SMC6/RNF126/PPP4C/DCLRE1C/ACTR2/LIG4/DCLRE1A/UVRAG/ACTB/NSMCE4A/CIB1/NUCKS1/EPC1/WRAP53/C1QBP/RPA1/ATRIP/DNA2/ZFYVE26/MSH2/PARP1/NABP2/RNF138/HMGB1/SFPQ/UBE2N/SENP3/MCM7/NBN/ACTL6A/SETMAR/TDP1/SMARCD2/RTEL1/MCM6/BRD7/NUDT16L1/ERCC1/RECQL/XRCC6"
"REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR",257,0.351610207092139,1.65129245299965,3.48118995705213e-06,1.85663464376113e-05,1.16039665235071e-05,3108,"tags=36%, list=25%, signal=28%","EME1/RAD51D/FANCM/DTL/XRCC2/ACTR5/UBE2T/POLQ/EXO1/RFC3/RAD18/FEN1/POLR2I/RAD51/CDK2/LIG1/USP1/RFC5/FIGNL1/VCP/PALB2/RAD51AP1/TOPBP1/TOP3A/DCLRE1B/RBBP8/NEIL1/SLX4/POLE3/FANCA/MDC1/RFC2/KPNA2/RAD9B/USP45/TIMELESS/XRCC1/FANCC/PARP2/RFC1/PIAS4/FANCI/POLD3/CLSPN/RMI1/XRCC3/CHEK2/POLE/SPRTN/USP7/COPS8/RAD9A/FANCG/TERF2IP/COPS3/UBE2V2/COPS7B/ERCC4/BRCA1/CCNA2/BRIP1/MNAT1/NEIL2/GPS1/PPP4C/DCLRE1C/FANCE/LIG4/DCLRE1A/RAD17/ACTB/RNF4/NPLOC4/POLR2C/RPA1/ATRIP/DNA2/MSH2/POLR2K/PARP1/FTO/TIPIN/POLD2/POLE2/UBE2N/POLR2G/NBN/ALKBH2/INO80C/ACTL6A/COPS2/TDP1/RTEL1"
"KAUFFMANN_DNA_REPAIR_GENES","KAUFFMANN_DNA_REPAIR_GENES","KAUFFMANN_DNA_REPAIR_GENES",210,0.356862374094586,1.63157699041523,8.07761556525615e-06,3.69262425840281e-05,2.30789016150176e-05,3030,"tags=36%, list=24%, signal=28%","EME1/RAD51D/RAD54L/FANCM/XRCC2/CHAF1B/RAD54B/RECQL4/POLQ/EXO1/SMC2/RFC3/RAD18/FEN1/TOP2A/MAD2L1/RAD51/LIG1/RFC5/TOP3B/RRM1/RAD51AP1/TOPBP1/TOP3A/DCLRE1B/RBBP8/NUDT1/NEIL1/POLE3/FANCA/RFC2/RAD9B/XRCC1/FANCC/PARP2/RFC1/POLA2/RRM2/POLD3/XRCC3/CHEK2/POLE/RAD9A/FANCG/UBE2L3/UBE2V2/ERCC4/BRCA1/CHAF1A/MAD1L1/BRIP1/SMC1A/WRNIP1/MTOR/MNAT1/NEIL2/SMC4/DCLRE1C/FANCE/LIG4/DCLRE1A/RAD17/CIB1/RPA1/APTX/MSH2/PARP1/SSRP1/POLD2/HMGB1/POLE2/UBE2N/SUPT16H/ALKBH1/NBN/ALKBH2"
"GOBP_INTERSTRAND_CROSS_LINK_REPAIR","GOBP_INTERSTRAND_CROSS_LINK_REPAIR","GOBP_INTERSTRAND_CROSS_LINK_REPAIR",33,0.588939402213113,1.95108796447454,0.000216105543609618,0.000864422174438472,0.000540263859024045,2574,"tags=58%, list=20%, signal=46%","RAD51D/FANCM/RFWD3/MCM8/RAD51/VCP/RAD51AP1/DCLRE1B/FANCA/FANCC/FANCI/XRCC3/SPRTN/FANCG/ERCC4/DCLRE1C/FANCE/DCLRE1A/NUCKS1"
"REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER","REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER","REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER",82,0.373435136919621,1.48826529918487,0.00528098591969951,0.0187768388255983,0.0117355242659989,3367,"tags=39%, list=27%, signal=29%","ACTR5/RFC3/LIG1/RFC5/POLE3/RFC2/USP45/XRCC1/PARP2/RFC1/POLD3/POLE/COPS8/COPS3/UBE2V2/COPS7B/ERCC4/MNAT1/GPS1/ACTB/RPA1/PARP1/POLD2/POLE2/UBE2N/INO80C/ACTL6A/COPS2/ERCC1/PIAS3/SUMO3/PCNA"
"GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION",66,0.393190426562956,1.54320875244797,0.0072449967484078,0.0210763541771863,0.0131727213607414,3108,"tags=38%, list=25%, signal=29%","POLQ/RAD51/FIGNL1/PARPBP/PLK1/RAD51AP1/TIMELESS/PIAS4/UBQLN4/MORF4L2/TERF2IP/VPS72/PELI1/RNF126/PPP4C/ACTR2/ACTB/EPC1/WRAP53/C1QBP/PARP1/SENP3/NBN/ACTL6A/RTEL1"
