"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",190,0.729425036777269,2.43918692941101,3.47082752943836e-22,1.73541376471918e-20,1.13258582539568e-20,1498,"tags=43%, list=12%, signal=38%","E2F8/AURKB/HMMR/CDCA8/MKI67/CDC20/KIF2C/SPC25/ASF1B/PLK1/KIF4A/DEPDC1/CENPM/MYBL2/RRM2/DLGAP5/TOP2A/CDK1/AURKA/TK1/BIRC5/BUB1B/SPC24/GINS4/ESPL1/CCNB2/LMNB1/SPAG5/HELLS/CDKN3/RAD51AP1/CDCA3/PTTG1/TACC3/MXD3/CENPE/TRIP13/CKS2/PLK4/GINS1/MCM5/CDKN2C/CIT/SHMT1/MAD2L1/RACGAP1/CDC25A/MCM2/UBE2T/TCF19/BRCA2/EZH2/ORC6/ATAD2/LBR/RFC3/CDC25B/BRCA1/RNASEH2A/MCM7/MCM3/GINS3/POLE/POLD1/CHEK1/HMGB2/MCM6/CDKN1B/SUV39H1/MELK/NASP/HMGB3/MCM4/POLA2/SMC4/LIG1/TMPO/KIF22/PSMC3IP/KPNA2/DCTPP1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",183,0.72139638881781,2.41226611678161,1.62229569251027e-19,4.05573923127566e-18,2.64690349830622e-18,1345,"tags=43%, list=10%, signal=39%","TROAP/AURKB/HMMR/MKI67/CDC20/KIF2C/NEK2/CENPA/RAD54L/PLK1/KIF4A/TTK/MYBL2/CDC45/CENPF/TOP2A/CDK1/UBE2C/AURKA/BIRC5/PBK/NDC80/ESPL1/CCNB2/BUB1/LMNB1/CDKN3/PRC1/GINS2/KIF11/TPX2/NUSAP1/KIF15/PTTG1/TACC3/CENPE/KIF20B/EXO1/CCNA2/CKS2/PLK4/CDC7/MCM5/CDKN2C/CCNF/DBF4/POLQ/MAD2L1/RACGAP1/CDC25A/MCM2/CDC6/BRCA2/EZH2/ORC6/E2F1/LBR/TRAIP/FBXO5/CDC25B/MEIS1/MCM3/KIF23/POLE/CHEK1/RBL1/MCM6/CDKN1B/SUV39H1/NASP/RBM14/HMGB3/STIL/POLA2/SMC4/TMPO/SFPQ/KIF22"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",189,-0.545019726879395,-2.37796473756944,1.01547889674452e-14,1.69246482790754e-13,1.10455599295018e-13,1797,"tags=48%, list=14%, signal=42%","TNC/ITGB1/LRRC15/LAMC1/COL1A1/LOXL2/VIM/MXRA5/THBS1/COL1A2/ITGAV/LAMA2/PLAUR/ITGB3/PLOD1/QSOX1/FSTL1/EMP3/ID2/PLOD3/COL4A1/LRP1/GADD45A/COL3A1/PMEPA1/CALU/FMOD/BMP1/HTRA1/COL6A2/COL5A1/NNMT/CALD1/PTX3/COMP/SPARC/ACTA2/SGCB/NTM/CTHRC1/APLP1/GADD45B/MATN3/DCN/SGCG/DAB2/DPYSL3/FAP/MMP2/ELN/IGFBP3/PCOLCE2/LUM/FBN1/TNFAIP3/LOX/SERPINE1/THBS2/TIMP1/ITGB5/TIMP3/SAT1/CDH6/ECM1/EFEMP2/POSTN/COL8A2/FBLN2/SLIT3/IL6/SFRP4/PLOD2/TGFBI/MFAP5/TFPI2/INHBA/ENO2/LAMC2/SPOCK1/FN1/RGS4/SPP1/CADM1/CRLF1/SGCD/SERPINE2/VEGFA/VCAN/EDIL3/ABI3BP/ECM2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",156,-0.506828325513533,-2.13567776526621,6.42545484093462e-10,8.03181855116828e-09,5.24181842286772e-09,1595,"tags=47%, list=12%, signal=42%","CCNG2/GAPDH/IDS/ALDOC/SLC2A1/S100A4/TPI1/PDK1/TIPARP/KLHL24/PLAUR/SDC2/TES/GYS1/ZFP36/SRPX/CSRP2/EFNA3/PGK1/SLC2A3/BCL2/BNIP3L/P4HA2/IRS2/COL5A1/PFKL/CDKN1A/CAV1/TPST2/PGM1/STC2/NDST1/FAM162A/HMOX1/VLDLR/DCN/PAM/F3/KDM3A/TGFB3/IER3/BTG1/MAFF/GAA/IGFBP3/TMEM45A/DTNA/TNFAIP3/LOX/SERPINE1/PYGM/NDRG1/P4HA1/GBE1/HK2/KLF7/RRAGD/STC1/IL6/PPP1R3C/TGFBI/MXI1/ENO2/PPFIA4/HAS1/ANGPTL4/GPC4/AK4/ERRFI1/VEGFA/SLC2A5/HOXB9/BHLHE40/IGFBP1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",188,0.530368796834556,1.77686013820852,7.10018966042287e-06,7.10018966042287e-05,4.63380798890756e-05,2106,"tags=28%, list=16%, signal=24%","KIF2C/NEK2/PLK1/KIF4A/TTK/DLGAP5/CENPF/TOP2A/CDK1/AURKA/BIRC5/NDC80/ESPL1/CCNB2/ANLN/BUB1/LMNB1/PRC1/KIF11/TPX2/NUSAP1/KIF15/CENPE/KIF20B/RACGAP1/KNTC1/BRCA2/FBXO5/KIF23/CNTRL/FGD4/PIF1/DOCK2/SMC4/EPB41/KIF22/RHOF/RAPGEF6/FGD6/NET1/INCENP/VCL/MYH10/CEP72/ARHGDIA/ALMS1/CDC42EP4/PREX1/ACTN4/ARHGAP27/EZR/CENPJ"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",168,-0.396371158728244,-1.68041434246127,1.29142259995283e-05,0.00010761854999607,7.02352642079612e-05,2010,"tags=33%, list=15%, signal=28%","PLK3/STEAP3/ISCU/SESN1/RPS27L/S100A4/TCN2/PTPN14/S100A10/DDB2/TRIB3/RETSAT/ZMAT3/ABHD4/PRMT2/VAMP8/VDR/GADD45A/SLC3A2/NUPR1/AEN/TXNIP/ANKRA2/KLF4/RNF19B/IP6K2/TSPYL2/LIF/SERTAD3/CDKN1A/CDKN2A/MXD1/HSPA4L/TPD52L1/FAM162A/HMOX1/TSC22D1/IER3/BTG1/CTSD/HBEGF/SLC7A11/CTSF/CDH13/APP/NDRG1/SAT1/CDKN2B/IFI30/PTPRE/CLCA2/CCND2/PLK2/FGF13/INHBB"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",132,-0.432188848535682,-1.77973854797743,5.44800276419991e-05,0.000389143054585708,0.000253967046150673,1885,"tags=39%, list=14%, signal=34%","GSN/ATP6AP1/CKB/ITGB1/SMTN/COL1A1/RIT1/MAPRE3/TNNC1/LAMA2/GABARAPL2/GPX3/COL3A1/SSPN/HSPB2/COL6A2/TNNC2/CDKN1A/SPARC/NAV2/TPD52L1/STC2/GADD45B/IGFBP7/CRYAB/SGCG/PFKM/FABP3/HBEGF/GAA/COX7A1/IGFBP3/DTNA/CDH13/APP/NCAM1/ITGB5/PYGM/FST/PTGIS/PPP1R3C/MYOM1/CFD/PPFIA4/SGCA/SGCD/SH3BGR/MYH2/KCNH1/CD36/BHLHE40/COL15A1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",86,-0.478964124008535,-1.83057918239778,6.45720086453386e-05,0.000403575054033367,0.000263385824737566,1991,"tags=49%, list=15%, signal=42%","SH2B2/ISCU/LAMP2/GSN/S100A13/MMP15/THBS1/SERPING1/ITGB3/MST1/PROS1/LRP1/CRIP2/C1S/S100A1/BMP1/HTRA1/CFB/LGMN/COMP/F10/SPARC/ACOX2/CFH/F3/MAFF/MMP2/CTSK/FBN1/SERPINE1/TIMP1/PLAT/TIMP3/CPQ/KLF7/GDA/CFD/TFPI2/DPP4/SERPINB2/FN1/FYN"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",166,-0.370615925622588,-1.57022690428194,0.000293584168399831,0.00163102315777684,0.00106445721875962,1616,"tags=31%, list=12%, signal=27%","DENND5A/TIPARP/SERPINB8/PLAUR/DNAJB4/ZFP36/EIF1/ID2/GADD45A/SLC2A3/ZC3H12A/PMEPA1/FJX1/KLF4/RNF19B/IRS2/B4GALT1/PHLDA1/LIF/IFNGR2/FOSL1/PTX3/CDKN1A/CSF1/MXD1/SLC16A6/GADD45B/TSC22D1/TNFAIP6/F3/IER3/BTG1/MAFF/MSC/GFPT2/HBEGF/TNFAIP3/SERPINE1/SAT1/KLF10/EGR3/IL6/PTPRE/INHBA/SERPINB2/SIK1/VEGFA/ICOSLG/PLK2/BHLHE40/EGR2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",134,-0.37204918697759,-1.53155808324896,0.00101912505496865,0.00509562527484323,0.00332556596884505,2606,"tags=33%, list=20%, signal=27%","AMPH/DYRK1A/PTPRM/AKT3/DBP/NOTCH2/CITED2/NR3C1/DLC1/SNAI2/PTPN21/LAMC1/COL1A1/RASA2/COL1A2/GCNT1/DDAH1/BCKDHB/ITGB3/SDC2/SYNE1/CACNA1A/COL3A1/FHL2/SMAD7/KCNMA1/NEK7/CAV1/VLDLR/PLCB4/EFEMP1/F3/DAB2/TGFBR2/INSIG1/TFPI/SERPINE1/HAS2/RUNX1/ACVR2A/RGS4/FYN/CELF2/BHLHE40"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",68,0.562488621134734,1.70516436693554,0.00494644687995274,0.0224838494543307,0.0146736701701947,1055,"tags=24%, list=8%, signal=22%","NCAPH/KIF2C/NEK2/TTK/CDK1/AURKA/CCNB2/BUB1/CDKN3/SCG5/NEFH/DBF4/DMC1/EZH2/RFC4/SPATA6"
