"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_DNA_REPAIR","GOBP_DNA_REPAIR","GOBP_DNA_REPAIR",518,-0.523696020236494,-2.60808454780602,2.19529652940616e-35,7.02494889409971e-34,2.31083845200648e-35,2117,"tags=36%, list=17%, signal=31%","RAD18/MC1R/SLX4/UNG/MMS22L/NUDT16L1/PAXIP1/RPA2/TRRAP/RNASEH2C/XAB2/UBE2N/RAD23A/FH/RPA1/UPF1/ATRIP/KDM1A/PRKDC/NFRKB/APEX2/PIAS4/XRCC5/MCRS1/SF3B3/TAF5/GEN1/ERCC1/PPP5C/POLM/NSMCE4A/PNKP/EGFR/TOP3A/SWSAP1/CSNK2A1/EID3/OGG1/RNF126/DNA2/GTF2H4/BCCIP/FUS/TOPBP1/TAF6/CUL4A/PCNA/UIMC1/TWIST1/MUS81/RMI1/INO80E/BARD1/ARID1A/MDC1/NUCKS1/ELOF1/XRCC6/RAD9A/APEX1/PRMT1/SMARCB1/TRIM28/FANCL/POLA1/HMGA2/DOT1L/MUTYH/BCL7C/POLD2/TOP3B/MSH5/FANCM/SKP2/SMARCA4/KAT2A/USP1/MSH6/RUVBL1/POLD3/CHEK1/FZR1/PRPF19/DCLRE1B/PARP2/HELB/REXO4/SMC1A/SSRP1/SETMAR/NHEJ1/XRCC1/NTHL1/TREX1/SPIRE2/FANCF/CDKN2D/PAGR1/RUVBL2/RTEL1/DMC1/FANCE/RFWD3/SFPQ/RRM1/FANCC/PIF1/DPF1/ACTL6A/AGER/PARP1/MCM6/BRCA2/RFC2/TDP1/PARPBP/BRCA1/TTF2/MCM8/RAD54B/NEIL3/FANCG/HMGA1/HMGB1/MAD2L2/FIGNL1/HMGB2/RMI2/RFC3/TIMELESS/AUNIP/WRAP53/RAD51/RFC5/DPF3/POLQ/WDHD1/RFC4/XRCC2/CDK2/BLM/BRIP1/RECQL4/MCM4/UBE2T/SUV39H1/CHAF1A/FANCI/XRCC3/LIG1/MCM2/CHAF1B/POLE/POLD1/CDC7/POLE2/DDX11/EXO1/MCM3/MCM7/EME1/PTTG1/TICRR/TRAIP/RNASEH2A/FEN1/TONSL/GINS4/FOXM1/KIF22/RAD51AP1/FANCD2/GINS2/FANCA/DTL/CDK1/CLSPN/UHRF1/MCM5/TRIP13/PLK1/ESCO2/CDCA5/ERCC6L/CDC45"
"GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR",258,-0.588672878088352,-2.71587603770105,3.87579965978109e-26,6.20127945564975e-25,2.03989455777952e-26,2097,"tags=41%, list=17%, signal=35%","SLX4/MMS22L/NUDT16L1/RPA2/TRRAP/UBE2N/FH/RPA1/ATRIP/KDM1A/PRKDC/PIAS4/XRCC5/GEN1/ERCC1/PPP5C/POLM/NSMCE4A/PNKP/TOP3A/SWSAP1/CSNK2A1/EID3/OGG1/RNF126/DNA2/FUS/TOPBP1/UIMC1/TWIST1/MUS81/RMI1/ARID1A/NUCKS1/XRCC6/PRMT1/SMARCB1/POLA1/HMGA2/BCL7C/FANCM/SKP2/SMARCA4/RUVBL1/CHEK1/PRPF19/DCLRE1B/PARP2/HELB/SETMAR/NHEJ1/XRCC1/SPIRE2/RUVBL2/RTEL1/DMC1/RFWD3/SFPQ/DPF1/ACTL6A/AGER/PARP1/MCM6/BRCA2/TDP1/PARPBP/BRCA1/MCM8/RAD54B/HMGB1/MAD2L2/FIGNL1/HMGB2/RMI2/TIMELESS/AUNIP/WRAP53/RAD51/DPF3/POLQ/XRCC2/BLM/BRIP1/RECQL4/MCM4/XRCC3/MCM2/CDC7/DDX11/MCM3/MCM7/EME1/FEN1/TONSL/GINS4/FOXM1/RAD51AP1/FANCD2/GINS2/UHRF1/MCM5/TRIP13/PLK1/ESCO2/CDCA5/CDC45"
"REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR",256,-0.550688441646233,-2.54130738284357,2.9865774626483e-22,3.18568262682486e-21,1.0479219167187e-22,2223,"tags=41%, list=18%, signal=34%","FANCB/POLR2I/ERCC3/RAD51B/RAD18/SLX4/UNG/PAXIP1/RPA2/XAB2/UBE2N/RAD23A/RPA1/ATRIP/PRKDC/NFRKB/PIAS4/XRCC5/MCRS1/POLR2E/GEN1/ERCC1/PPP5C/SUMO2/POLM/PNKP/TOP3A/OGG1/DNA2/GTF2H4/TOPBP1/CUL4A/PCNA/UIMC1/MUS81/RMI1/INO80E/BARD1/POLE4/MDC1/XRCC6/TIPIN/RAD9A/APEX1/FANCL/COPS6/MUTYH/POLD2/ACD/FANCM/USP1/MSH6/RUVBL1/POLD3/CHEK1/PRPF19/DCLRE1B/PARP2/NHEJ1/XRCC1/NTHL1/FANCF/RTEL1/POLE3/FANCE/FANCC/ACTL6A/PARP1/BRCA2/RFC2/TDP1/BRCA1/NEIL3/FANCG/MAD2L2/FIGNL1/RMI2/RFC3/TIMELESS/RAD51/RFC5/POLQ/RFC4/XRCC2/CDK2/BLM/BRIP1/UBE2T/FANCI/XRCC3/KPNA2/LIG1/POLE/POLD1/POLE2/EXO1/EME1/FEN1/CCNA2/RAD51AP1/FANCD2/FANCA/DTL/CLSPN"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",117,-0.666968402871841,-2.75757456762355,4.10152526361241e-19,2.87127126264311e-18,9.44497125869443e-20,2144,"tags=55%, list=17%, signal=46%","RAD51B/SLX4/PAXIP1/RPA2/UBE2N/RPA1/ATRIP/PRKDC/PIAS4/XRCC5/GEN1/ERCC1/PPP5C/SUMO2/POLM/TOP3A/DNA2/TOPBP1/PCNA/UIMC1/MUS81/RMI1/BARD1/POLE4/MDC1/XRCC6/TIPIN/RAD9A/POLD2/POLD3/CHEK1/PARP2/NHEJ1/XRCC1/RTEL1/POLE3/PARP1/BRCA2/RFC2/TDP1/BRCA1/FIGNL1/RMI2/RFC3/TIMELESS/RAD51/RFC5/POLQ/RFC4/XRCC2/CDK2/BLM/BRIP1/XRCC3/KPNA2/POLE/POLD1/POLE2/EXO1/EME1/FEN1/CCNA2/RAD51AP1/CLSPN"
"KAUFFMANN_DNA_REPAIR_GENES","KAUFFMANN_DNA_REPAIR_GENES","KAUFFMANN_DNA_REPAIR_GENES",206,-0.571025267088674,-2.58975448498299,4.48636134787985e-19,2.87127126264311e-18,9.44497125869443e-20,2174,"tags=44%, list=17%, signal=37%","ERCC3/RAD51B/RAD18/UNG/RPA2/XAB2/UBE2N/RAD23A/MTOR/RPA1/PRKDC/APEX2/XRCC5/SMC2/ERCC1/POLM/PNKP/MBD3/TOP3A/OGG1/GTF2H4/TOPBP1/PCNA/MUS81/POLE4/XRCC6/RAD9A/APEX1/FANCL/POLA1/MUTYH/POLD2/TOP3B/MSH5/FANCM/MSH6/POLD3/CHEK1/DCLRE1B/PARP2/SMC1A/SSRP1/XRCC1/NTHL1/TREX1/FANCF/SMC4/RUVBL2/DMC1/POLE3/FANCE/RRM1/FANCC/PARP1/BRCA2/RFC2/TDP1/BRCA1/RAD54B/NEIL3/FANCG/HMGB1/MAD2L2/HMGB2/RFC3/RAD51/RFC5/POLQ/RFC4/POLA2/XRCC2/BLM/BRIP1/RECQL4/CHAF1A/XRCC3/LIG1/CHAF1B/POLE/POLD1/POLE2/EXO1/EME1/PTTG1/FEN1/RAD51AP1/FANCD2/TOP2A/FANCA/MAD2L1/RRM2"
"GOBP_RECOMBINATIONAL_REPAIR","GOBP_RECOMBINATIONAL_REPAIR","GOBP_RECOMBINATIONAL_REPAIR",156,-0.611034477188787,-2.65856677165796,1.69313848315228e-18,9.03007191014549e-18,2.97041839149523e-19,2424,"tags=48%, list=19%, signal=39%","KAT5/MAGEF1/RNF138/YEATS4/NABP2/C1QBP/FANCB/RAD51B/SLX4/MMS22L/RPA2/TRRAP/UBE2N/RPA1/KDM1A/PIAS4/XRCC5/GEN1/NSMCE4A/TOP3A/SWSAP1/CSNK2A1/EID3/RNF126/FUS/TOPBP1/MUS81/RMI1/NUCKS1/XRCC6/PRMT1/FANCM/SKP2/RUVBL1/CHEK1/HELB/RUVBL2/RTEL1/DMC1/RFWD3/SFPQ/ACTL6A/PARP1/MCM6/BRCA2/PARPBP/BRCA1/MCM8/RAD54B/MAD2L2/FIGNL1/RMI2/TIMELESS/AUNIP/WRAP53/RAD51/POLQ/XRCC2/BLM/RECQL4/MCM4/XRCC3/MCM2/CDC7/MCM3/MCM7/FEN1/TONSL/GINS4/RAD51AP1/GINS2/UHRF1/MCM5/PLK1/CDC45"
"REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR",90,-0.698354646814936,-2.77768834926749,1.72433291527528e-16,7.88266475554414e-16,2.59298182748162e-17,2144,"tags=61%, list=17%, signal=51%","RAD51B/SLX4/RPA2/UBE2N/RPA1/ATRIP/PIAS4/GEN1/ERCC1/SUMO2/TOP3A/DNA2/TOPBP1/PCNA/UIMC1/MUS81/RMI1/BARD1/POLE4/MDC1/TIPIN/RAD9A/POLD2/POLD3/CHEK1/PARP2/XRCC1/RTEL1/POLE3/PARP1/BRCA2/RFC2/BRCA1/FIGNL1/RMI2/RFC3/TIMELESS/RAD51/RFC5/POLQ/RFC4/XRCC2/CDK2/BLM/BRIP1/XRCC3/POLE/POLD1/POLE2/EXO1/EME1/FEN1/CCNA2/RAD51AP1/CLSPN"
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK",111,-0.601960308421194,-2.45149834706134,4.05002926949908e-12,1.62001170779963e-11,5.32898588091985e-13,2223,"tags=51%, list=18%, signal=43%","FANCB/ERCC3/UNG/RPA2/RAD23A/RPA1/PRKDC/APEX2/XRCC5/ERCC1/POLM/PNKP/OGG1/GTF2H4/CUL4A/PCNA/POLE4/XRCC6/APEX1/FANCL/MUTYH/POLD2/FANCM/USP1/MSH6/POLD3/CHEK1/PARP2/NHEJ1/XRCC1/NTHL1/FANCF/POLE3/FANCE/FANCC/PARP1/BRCA2/RFC2/BRCA1/RAD54B/NEIL3/FANCG/HMGB1/RFC3/RAD51/RFC5/RFC4/BRIP1/FANCI/LIG1/POLE/POLD1/POLE2/EXO1/FEN1/FANCD2/FANCA"
"GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR",120,-0.574843646254744,-2.39526579235673,5.2485146291215e-12,1.67952468131888e-11,5.52475224118053e-13,2593,"tags=46%, list=21%, signal=37%","DPF2/DMAP1/USP51/KAT5/MAGEF1/YEATS4/C1QBP/FANCB/NUDT16L1/RPA2/TRRAP/UBE2N/FH/ATRIP/KDM1A/PRKDC/PIAS4/PNKP/CSNK2A1/OGG1/RNF126/FUS/TWIST1/ARID1A/PRMT1/SMARCB1/HMGA2/BCL7C/SKP2/SMARCA4/RUVBL1/CHEK1/HELB/SETMAR/SPIRE2/RUVBL2/RTEL1/DPF1/ACTL6A/AGER/PARP1/PARPBP/MAD2L2/FIGNL1/RMI2/TIMELESS/AUNIP/WRAP53/RAD51/DPF3/POLQ/DDX11/FOXM1/RAD51AP1/PLK1"
"GOBP_REGULATION_OF_DNA_REPAIR","GOBP_REGULATION_OF_DNA_REPAIR","GOBP_REGULATION_OF_DNA_REPAIR",194,-0.496170600970934,-2.2252675967063,4.92288265054871e-12,1.67952468131888e-11,5.52475224118053e-13,2694,"tags=42%, list=22%, signal=33%","CBX8/TAF6L/DPF2/DMAP1/SF3B5/KAT2B/USP51/INO80D/TAF4/TFPT/KAT5/MAGEF1/ENY2/YEATS4/C1QBP/FANCB/NUDT16L1/RPA2/TRRAP/UBE2N/FH/ATRIP/KDM1A/PRKDC/NFRKB/PIAS4/MCRS1/SF3B3/TAF5/PNKP/EGFR/CSNK2A1/OGG1/RNF126/FUS/TAF6/CUL4A/PCNA/UIMC1/TWIST1/INO80E/BARD1/ARID1A/PRMT1/SMARCB1/TRIM28/HMGA2/BCL7C/SKP2/SMARCA4/KAT2A/USP1/RUVBL1/CHEK1/HELB/SETMAR/XRCC1/SPIRE2/RUVBL2/RTEL1/DPF1/ACTL6A/AGER/PARP1/PARPBP/BRCA1/HMGB1/MAD2L2/FIGNL1/RMI2/TIMELESS/AUNIP/WRAP53/RAD51/DPF3/POLQ/SUV39H1/DDX11/FOXM1/RAD51AP1/PLK1"
