"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",185,-0.777197083413845,-3.48482183940251,1e-50,5e-49,2.94736842105263e-49,1477,"tags=63%, list=12%, signal=57%","PCNA/ANP32E/PSIP1/BARD1/POLE4/CDK4/TBRG4/XRCC6/TIPIN/CSE1L/RANBP1/PAICS/DIAPH3/POLD2/CTPS1/USP1/POLD3/POP7/CHEK1/TUBG1/DCLRE1B/SMC1A/WDR90/CBX5/NUP205/TUBB/PA2G4/ILF3/SSRP1/SNRPB/NOLC1/HMGB3/SMC4/DONSON/TRA2B/MELK/NASP/NME1/DDX39A/TMPO/MCM6/BRCA2/RFC2/DCTPP1/BRCA1/SRSF2/CDC25B/HMGA1/HMGB2/NCAPD2/DNMT1/CKS1B/RFC3/TIMELESS/CDKN2C/PSMC3IP/CKS2/POLA2/LBR/MCM4/UBE2T/RACGAP1/ORC6/SUV39H1/SHMT1/UBE2S/GINS1/KPNA2/LIG1/MCM2/POLE/POLD1/CIT/EZH2/GINS3/HELLS/MCM3/MCM7/PTTG1/CENPE/RNASEH2A/PLK4/TCF19/CDC25A/GINS4/KIF22/ATAD2/RAD51AP1/CCNB2/TOP2A/CDKN3/CDK1/MAD2L1/BUB1B/ESPL1/KIF4A/SPAG5/MCM5/DLGAP5/DEPDC1/TK1/MXD3/TRIP13/PLK1/MKI67/LMNB1/TACC3/SPC24/BIRC5/SPC25/RRM2/MYBL2/CDCA3/KIF2C/AURKA/ASF1B/CDC20"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",178,-0.76989490907229,-3.43541662753288,2.63684799567012e-48,6.5921199891753e-47,3.88588125677702e-47,1039,"tags=52%, list=8%, signal=48%","AMD1/HMGN2/SLC7A1/CHEK1/ODC1/SMC1A/ILF3/NOLC1/SNRPD1/HMGB3/SMC4/TRA2B/NASP/SFPQ/FANCC/RBL1/DDX39A/TMPO/MCM6/BRCA2/DTYMK/RBM14/SRSF2/KIF23/CDC25B/STIL/HMGA1/CKS1B/CDKN2C/MT2A/INCENP/FBXO5/POLQ/CKS2/POLA2/LBR/KIF20B/RACGAP1/ORC6/SUV39H1/UBE2S/CHAF1A/KPNA2/MCM2/KIF15/POLE/CDC7/EXO1/EZH2/MCM3/PTTG1/CENPE/CDC6/E2F1/TRAIP/BUB1/DBF4/PLK4/CDC25A/KIF22/CCNA2/PBK/CCNF/GINS2/NDC80/CCNB2/TTK/TOP2A/CDKN3/CENPF/CDK1/MAD2L1/NUSAP1/PRC1/ESPL1/KIF11/KIF4A/MCM5/TPX2/PLK1/MKI67/LMNB1/TACC3/BIRC5/CENPA/MYBL2/UBE2C/NEK2/KIF2C/CDC45/AURKA/CDC20"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",192,-0.573072035343616,-2.58727684867148,1.23417643898205e-18,2.05696073163675e-17,1.21252422075429e-17,3066,"tags=53%, list=24%, signal=41%","RPLP0/G3BP1/SNRPD3/DUT/NPM1/HNRNPR/VDAC3/PSMB3/PSMD3/PRPF31/TFDP1/HNRNPC/TCP1/NOP56/EIF3D/TARDBP/HSPE1/DDX18/ILF2/CCT2/C1QBP/RPS2/EIF4E/AIMP2/GOT2/LSM7/NCBP1/BUB3/RPL22/PSMB2/SRM/RPL18/PCBP1/SRSF3/EIF1AX/HNRNPD/CAD/SRSF1/SF3B3/HDGF/SERBP1/MRPL23/PCNA/HSP90AB1/PHB2/CDK4/VBP1/MRPL9/PSMC4/XRCC6/GLO1/APEX1/RANBP1/EIF4H/SNRPA1/TRIM28/SNRPB2/SF3A1/CCT7/HNRNPA1/IMPDH2/POLD2/RPL14/PSMA7/CTPS1/HNRNPA3/USP1/CYC1/LSM2/ODC1/PPM1G/NHP2/RRP9/PA2G4/HNRNPA2B1/RNPS1/NOLC1/SNRPD1/CSTF2/CCT5/HPRT1/RUVBL2/POLE3/TRA2B/SNRPA/RRM1/NME1/FBL/MCM6/SRSF2/RFC4/CDK2/MCM4/KPNA2/MCM2/MCM7/TYMS/CCNA2/MAD2L1/MCM5/CDC45/CDC20"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",187,-0.531806717246474,-2.39145540333415,3.44822095357219e-14,4.31027619196524e-13,2.54079438684267e-13,1127,"tags=25%, list=9%, signal=23%","CNTROB/TUBA4A/ARHGDIA/MAP3K11/TUBGCP2/SAC3D1/DOCK2/CEP72/SMC1A/CNTRL/SMC4/GEMIN4/CENPJ/PIF1/KNTC1/ECT2/BRCA2/KIF23/INCENP/FBXO5/KIF20B/RACGAP1/KIF15/CENPE/BUB1/KIF22/ANLN/NDC80/CCNB2/TTK/TOP2A/CENPF/CDK1/NUSAP1/PRC1/ESPL1/KIF11/KIF4A/DLGAP5/TPX2/PLK1/LMNB1/BIRC5/NEK2/KIF2C/AURKA"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",187,0.569662169487483,2.22898397468612,2.34500284742975e-12,2.34500284742975e-11,1.38231746795859e-11,2246,"tags=44%, list=18%, signal=37%","SFRP4/COMP/ECM2/ABI3BP/SERPINE2/VCAN/SPP1/EDIL3/MXRA5/SGCD/LUM/FMOD/CADM1/DCN/IL6/MEST/MFAP5/NTM/LAMA2/TGFBI/CRLF1/FAP/PTHLH/VEGFA/COL12A1/POSTN/NNMT/FBLN2/COL8A2/IGFBP3/ITGB5/DAB2/TIMP3/HTRA1/FBN1/INHBA/SLIT3/SPOCK1/PLOD2/FUCA1/MMP2/ACTA2/COL3A1/TIMP1/CALD1/THBS2/COL1A2/RGS4/ITGAV/DST/LAMC1/COL4A1/ECM1/COL6A3/DPYSL3/LOX/LAMC2/ITGB1/PCOLCE2/CTHRC1/SPARC/PPIB/COL5A2/COL5A3/FN1/MATN3/TPM1/CALU/COL6A2/WNT5A/COL5A1/LRP1/FSTL1/GADD45B/GJA1/SGCB/LAMA3/LRRC15/TGFBR3/ID2/SERPINE1/BMP1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,-0.691895438347002,-2.48324294192076,1.83531530611425e-10,1.52942942176187e-09,9.01558395985946e-10,2100,"tags=62%, list=17%, signal=52%","UTP20/AIMP2/UNG/MYBBP1A/PPRC1/SRM/PPAN/MRTO4/BYSL/CDK4/TBRG4/NOP2/WDR74/PRMT3/IPO4/FARSA/SORD/EXOSC5/RRP12/LAS1L/GRWD1/TMEM97/RRP9/PA2G4/IMP4/NOLC1/NOC4L/TCOF1/DCTPP1/SLC19A1/DUSP2/MCM4/PLK4/MCM5/PLK1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",151,0.527673519107416,2.01699919219615,8.13266064195862e-08,5.80904331568473e-07,3.42427816503521e-07,3220,"tags=52%, list=26%, signal=39%","HOXB9/SLC2A5/GPC4/MXI1/DCN/IL6/ANGPTL4/NDRG1/AK4/TGFBI/FOS/TGFB3/BHLHE40/PPP1R3C/GAA/VEGFA/IGFBP3/TMEM45A/KLHL24/PPFIA4/KDM3A/IRS2/P4HA1/IER3/KLF7/VLDLR/HEXA/STC2/PGM1/CCNG2/EFNA3/ZNF292/TPST2/ATF3/SDC2/SRPX/LOX/MAFF/F3/DDIT4/CSRP2/P4HA2/PAM/HK2/CDKN1C/HMOX1/FAM162A/COL5A1/STBD1/KDELR3/BNIP3L/SLC2A3/ZFP36/PRDX5/NDST1/CAV1/SERPINE1/RBPJ/GBE1/MAP3K1/GYS1/PGK1/HDLBP/PDK3/CDKN1A/ALDOC/PLAC8/DDIT3/DUSP1/LXN/DTNA/PRKCA/TES/STC1/IDS/PIM1/S100A4/B3GALT6"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,-0.468478465040428,-2.01961458414695,3.95213623650271e-07,2.4700851478142e-06,1.45605019239574e-06,2671,"tags=36%, list=21%, signal=29%","GTF2A2/GTF3C5/NME4/RAE1/ADRM1/RBX1/POLR2C/PNP/POLR2I/ERCC3/NUDT21/PDE6G/RPA2/POLR1C/ITPA/POLR2E/SNAPC4/ERCC1/GTF2B/TAF6/PCNA/CANT1/POLE4/HCLS1/UMPS/POLA1/NT5C/IMPDH2/GTF2F1/SAC3D1/POLD3/SSRP1/AAAS/BCAM/HPRT1/NME1/ARL6IP1/ALYREF/RFC2/RFC3/RAD51/RFC5/RFC4/POLA2/LIG1/POLD1/PRIM1/FEN1/TYMS/ZWINT"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",123,0.528381817792437,1.96584143193927,2.01869896988841e-06,1.12149942771578e-05,6.61094399495621e-06,1779,"tags=36%, list=14%, signal=31%","COL15A1/CD36/OCEL1/GJA5/SGCD/PTGIS/SGCA/APOD/TNNC1/KCNH1/LAMA2/CDH13/BHLHE40/NCAM1/PPP1R3C/GAA/TNNC2/IGFBP3/IGFBP7/ITGB5/PPFIA4/CFD/COX7A1/TPD52L1/MYH2/FABP3/COL3A1/GPX3/STC2/ERBB3/APP/COL6A3/ITGB1/MAPRE3/EIF4A2/SPARC/FST/PFKM/CNN3/FOXO4/COL6A2/PDE4DIP/GABARAPL2/SORBS3"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",82,0.556339047453614,1.92530044335667,1.72600806047646e-05,8.63004030238229e-05,5.08718165193062e-05,3242,"tags=59%, list=26%, signal=44%","COMP/DPP4/SERPINB2/CFB/CPQ/CFH/A2M/TIMP3/C1S/HTRA1/CFD/FBN1/MMP2/CTSO/KLF7/SERPING1/F10/S100A1/TIMP1/PROS1/CTSH/CTSK/C1R/LGMN/FYN/LAMP2/MAFF/F3/SPARC/FN1/ACOX2/OLR1/LRP1/ISCU/SERPINE1/BMP1/GSN/CRIP2/ADAM9/MST1/CTSB/C3/ARF4/S100A13/THBS1/PREP/MMP15/CLU"
