"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",191,0.574166542913094,2.64891529911424,1.36786483953716e-19,6.83932419768579e-18,3.59964431457147e-18,3477,"tags=68%, list=28%, signal=50%","AURKB/KIF4A/CDC25A/CENPE/LMNB1/GINS1/ORC6/AURKA/KIF22/KIF2C/HMGA1/PRPS1/UBE2T/ASF1B/CDKN2A/RFC3/CDK1/MYBL2/TOP2A/TRIP13/MAD2L1/LIG1/USP1/NME1/DCTPP1/TCF19/DIAPH3/MELK/CTPS1/UBR7/DCK/SPAG5/CCNB2/MCM5/UBE2S/MKI67/PLK1/ESPL1/RAD51AP1/TACC3/DCLRE1B/XPO1/TUBB/BUB1B/CKS2/TUBG1/LYAR/RFC2/MCM3/KPNA2/TIMELESS/EXOSC8/ATAD2/SPC24/SRSF1/RFC1/SHMT1/TMPO/CDKN3/POLA2/RRM2/HNRNPD/RNASEH2A/SUV39H1/POLD3/EED/CHEK2/PA2G4/POLE/DNMT1/CENPM/MMS22L/CKS1B/EZH2/CDC20/NUP205/RACGAP1/LBR/ZW10/CBX5/BRCA1/CCNE1/NOLC1/AK2/DEPDC1/ORC2/SNRPB/SMC1A/BIRC5/GINS4/SMC6/NUDT21/HELLS/SMC4/CDCA8/PHF5A/DLGAP5/CDCA3/WDR90/RPA1/DONSON/MSH2/CSE1L/CTCF/SSRP1/TIPIN/HMGB3/POLD2/ANP32E/PLK4/SRSF2/MCM7/NBN/POP7/TRA2B/NOP56/MCM6/SYNCRIP/TK1/XRCC6/CCP110/NASP/NUP153/ILF3/SLBP/PCNA/GINS3/RAD51C/TBRG4/PSMC3IP"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",147,-0.668316621199121,-2.31636628712386,1.81049300556223e-15,4.52623251390557e-14,2.38222763889767e-14,1944,"tags=50%, list=15%, signal=43%","NOD1/SAMHD1/STAT3/XAF1/TRIM25/FGL2/BTG1/TNFAIP2/NAMPT/LY6E/HLA-DMA/MTHFD2/PARP12/RNF213/PML/HLA-A/VAMP8/B2M/NFKBIA/PSMB8/IRF2/SOD2/CD40/LATS2/VAMP5/TNFAIP6/IL15RA/ARID5B/HERC6/NMI/IFITM2/SSPN/PLSCR1/HLA-B/PSME1/DDX60/STAT1/LGALS3BP/GBP4/STAT2/IFI35/UBE2L6/STAT4/GCH1/ISG20/IFITM3/DHX58/SOCS3/IL15/MX1/IFI27/PARP14/TXNIP/IRF1/BST2/IL6/PSMB9/IFIT1/APOL6/CFB/OAS3/EPSTI1/IFIT2/CCL2/PIM1/IFIT3/SECTM1/SERPING1/C1S/CASP1/ICAM1/VCAM1/C1R"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",186,0.522399465258127,2.39177920144349,1.62419690924966e-14,2.70699484874943e-13,1.42473413092075e-13,2292,"tags=47%, list=18%, signal=39%","MT2A/CDC7/AURKB/CCNF/RAD54L/KIF4A/CDC25A/CENPE/LMNB1/ORC6/AURKA/KIF22/KIF2C/HMGA1/E2F1/TRAIP/POLQ/UBE2C/DBF4/EXO1/NEK2/SMC2/STIL/CDK1/MYBL2/TGFB1/TOP2A/CDC6/MAD2L1/KIF11/TPX2/CCND1/INCENP/CDC45/CENPA/SLC7A1/CCNB2/TTK/MCM5/UBE2S/MKI67/FBXO5/ORC5/PLK1/RBL1/ESPL1/TACC3/XPO1/CKS2/MCM3/KPNA2/PRC1/PRMT5/FANCC/SRSF1/TMPO/GINS2/CDKN3/POLA2/HNRNPD/SUV39H1/SLC12A2/NUP50/POLE/CKS1B/EZH2/CDC20/SNRPD1/CENPF/RACGAP1/LBR/BUB1/NUSAP1/TROAP/HSPA8/CHAF1A/G3BP1/NOLC1/HIRA/AMD1/CCNA2/CDC27/SMC1A/BIRC5/PURA/MNAT1/SMC4"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",79,-0.714594785596675,-2.31478799602562,1.2471306171709e-11,1.55891327146362e-10,8.20480669191379e-11,1856,"tags=52%, list=15%, signal=45%","TRIM25/NCOA7/LY6E/PARP12/B2M/PSMB8/IRF2/UBA7/GMPR/HERC6/NMI/IFITM2/PLSCR1/LPAR6/GBP2/PSME1/DDX60/LGALS3BP/GBP4/STAT2/IFI35/UBE2L6/ISG20/IFITM1/IFITM3/DHX58/IL15/MX1/IFI27/PARP14/CSF1/TXNIP/IRF1/BST2/PSMB9/EPSTI1/IFIT2/IFIT3/C1S/TMEM140/CASP1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,0.459717707580721,2.12097682942074,2.36673491564519e-10,2.36673491564519e-09,1.24564995560273e-09,4095,"tags=60%, list=32%, signal=41%","PSMA6/MAD2L1/CDK2/USP1/NME1/CDC45/PSMA4/HNRNPA3/CTPS1/SNRPA1/PSMD14/MCM5/SRM/EIF4E/RRM1/ABCE1/SRPK1/XPO1/POLE3/PSMC4/CSTF2/KPNA2/YWHAQ/RRP9/CANX/HSP90AB1/SRSF1/HNRNPD/PSMB2/CCT5/LSM7/DDX21/RPL14/PA2G4/RPL22/CDC20/HNRNPA2B1/SNRPD1/NOP16/PSMD1/UBE2L3/CYC1/ERH/HDGF/SSBP1/PPIA/PSMA7/ACP1/G3BP1/TYMS/NOLC1/CCNA2/ORC2/DHX15/PSMD3/TARDBP/NCBP1/MRPL9/PSMC6/AIMP2/VDAC3/HPRT1/C1QBP/PPM1G/CCT7/EIF4G2/SNRPA/PSMB3/POLD2/DDX18/ODC1/SRSF2/SF3B3/RNPS1/YWHAE/TXNL4A/MCM7/TRA2B/NOP56/MCM6/ILF2/SYNCRIP/PRPS2/PCBP1/XRCC6/CAD/CCT2/HSPD1/PCNA/FBL/SRSF7/PTGES3/SF3A1/RPL34/CCT4/SMARCC1/BUB3/EIF1AX/NDUFAB1/MCM4/MYC/U2AF1/CCT3/RAN/AP3S1/GOT2/PWP1/LSM2/HSPE1/EIF4A1/GSPT1/TCP1/RANBP1/RUVBL2/VBP1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",55,-0.683899214491279,-2.091727723938,9.7418918128954e-07,8.11824317741283e-06,4.27275956705939e-06,1153,"tags=36%, list=9%, signal=33%","CD14/IL15RA/OSMR/CD36/JUN/STAT1/STAT2/SOCS3/LEPR/CSF1/IRF1/IL6ST/IL6/MAP3K8/IL1R1/CXCL1/PIM1/IL1B/A2M/PLA2G2A"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",109,-0.571710776200252,-1.91630374632046,2.76944808962229e-06,1.97817720687306e-05,1.04114589835424e-05,1279,"tags=35%, list=10%, signal=32%","NFKBIA/ACVR2A/CD14/BTG2/CD40/TNFAIP6/AHR/IL15RA/CD55/NMI/PCDH7/OLR1/ADORA2B/OSMR/GCH1/IFITM1/KCNJ2/IL15/CSF1/IRF1/ITGB8/BST2/PTPRE/CD82/IL1A/IL6/ADM/TLR3/RASGRP1/IL1R1/CXCL6/IL18/CCL2/ABCA1/IL1B/ICAM1/BEST1/TNFSF15"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",165,-0.51246235583808,-1.78993881505572,1.02823892030853e-05,6.4264932519283e-05,3.38236486943595e-05,1179,"tags=33%, list=9%, signal=30%","BCL6/SOD2/ZFP36/DUSP2/BTG2/TNFAIP6/CEBPB/FOSL2/IL15RA/OLR1/IRS2/CCNL1/VEGFA/FOSB/JUN/HES1/JAG1/SMAD3/TGIF1/DRAM1/ZC3H12A/GCH1/JUNB/BIRC3/SOCS3/MSC/BCL3/TNC/STAT5A/CSF1/NR4A3/LITAF/PTX3/EGR1/IRF1/KLF9/PTPRE/TNFAIP8/IL6ST/IL1A/IL6/CEBPD/MAP3K8/CXCL6/IFIT2/IL18/CCL2/CXCL1/ABCA1/ATF3/IL1B/ICAM1/FOS/CXCL2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",187,0.342802122816765,1.57504546988744,0.000102692052304356,0.000570511401690868,0.000300269158784667,2583,"tags=33%, list=20%, signal=26%","KIF4A/SHROOM2/PALLD/CENPE/LMNB1/AURKA/KIF22/KIF2C/APC/SSH2/NET1/NEK2/CDK1/TOP2A/KIF11/TPX2/INCENP/ECT2/DOCK4/CCNB2/FSCN1/TTK/CENPJ/FGD4/KNTC1/FBXO5/PLK1/PDLIM5/ESPL1/DOCK2/OPHN1/PRC1/PXN/ANLN/TUBGCP3/RFC1/EZR/GEMIN4/STK38L/SHROOM1/TUBGCP5/ARHGDIA/CENPF/RACGAP1/ARHGAP10/RASA1/BUB1/NUSAP1/WASF2/CDC27/SMC1A/BIRC5/KLC1/SMC4/ARFIP2/CNTRL/KIF15/ABI1/DLGAP5/SAC3D1/NIN"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",125,-0.502547826019814,-1.71587340210823,0.000156828239331631,0.000784141196658156,0.000412705892977977,1259,"tags=22%, list=10%, signal=20%","IRF2/CTSS/LGALS3/DPP4/CPQ/CEBPB/CD55/OLR1/CTSO/PLSCR1/APOBEC3G/CD36/LIPA/CASP10/F10/IRF1/IL6/RASGRP1/PSMB9/CFB/CXCL1/PIM1/SERPING1/C1S/CASP1/C1R/C3"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,0.50061296405367,1.88445808840255,0.000226540787186311,0.00102973085084687,0.000541963605708878,3672,"tags=62%, list=29%, signal=45%","SLC19A1/DCTPP1/TCOF1/MCM5/SRM/PLK1/NOP2/RRP12/RRP9/NDUFAF4/PA2G4/WDR74/NOP16/NIP7/RABEPK/NOLC1/BYSL/GRWD1/IPO4/LAS1L/NOC4L/PPRC1/AIMP2/IMP4/TFB2M/MRTO4/DDX18/PLK4/NOP56/MYBBP1A/HSPD1/TBRG4/FARSA/MCM4/MYC"
