"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",118,-0.601792930510086,-2.55722410226904,0.000462748727441,0.00106908993719097,7.03348642888794e-05,2820,"tags=55%, list=22%, signal=43%","BARD1/LIG3/ERCC1/RBBP8/MDC1/GEN1/SUMO2/PRKDC/KAT5/ATRIP/SLX4/UBE2N/NHEJ1/BAP1/CHEK2/PIAS4/PPP4C/UIMC1/MUS81/TOP3A/XRCC6/RFC1/PARP2/POLD2/BRIP1/RAD9A/RPA1/TOPBP1/RMI1/BLM/DNA2/XRCC1/BRCA2/TIPIN/PCNA/PAXIP1/POLD3/POLE3/POLQ/RTEL1/BRCA1/FIGNL1/PARP1/TDP1/RFC3/CLSPN/EXO1/POLD1/TIMELESS/CCNA2/RAD51/RFC2/RFC4/RAD51AP1/POLE2/RAD51D/XRCC2/KPNA2/POLE/RFC5/RMI2/XRCC3/CDK2/FEN1/EME1"
"REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR","REACTOME_HOMOLOGY_DIRECTED_REPAIR",92,-0.628447823667762,-2.5560853876012,0.00037037037037037,0.00106908993719097,7.03348642888794e-05,1395,"tags=62%, list=11%, signal=56%","BARD1/LIG3/ERCC1/RBBP8/MDC1/GEN1/SUMO2/KAT5/ATRIP/SLX4/UBE2N/PIAS4/PPP4C/UIMC1/MUS81/TOP3A/RFC1/PARP2/POLD2/BRIP1/RAD9A/RPA1/TOPBP1/RMI1/BLM/DNA2/XRCC1/BRCA2/TIPIN/PCNA/POLD3/POLE3/POLQ/RTEL1/BRCA1/FIGNL1/PARP1/RFC3/CLSPN/EXO1/POLD1/TIMELESS/CCNA2/RAD51/RFC2/RFC4/RAD51AP1/POLE2/RAD51D/XRCC2/POLE/RFC5/RMI2/XRCC3/CDK2/FEN1/EME1"
"REACTOME_BASE_EXCISION_REPAIR","REACTOME_BASE_EXCISION_REPAIR","REACTOME_BASE_EXCISION_REPAIR",42,-0.70015167136168,-2.4584521680828,0.000215982721382289,0.00106908993719097,7.03348642888794e-05,1714,"tags=62%, list=14%, signal=54%","PNKP/NTHL1/APEX1/MUTYH/UNG/RFC1/PARP2/POLD2/RPA1/NEIL3/ACD/XRCC1/PCNA/NEIL1/POLD3/POLE3/PARP1/RFC3/POLD1/RFC2/RFC4/POLE2/POLE/RFC5/LIG1/FEN1"
"KEGG_BASE_EXCISION_REPAIR","KEGG_BASE_EXCISION_REPAIR","KEGG_BASE_EXCISION_REPAIR",32,-0.714155014808185,-2.35304301899201,0.000190621425848265,0.00106908993719097,7.03348642888794e-05,1653,"tags=59%, list=13%, signal=52%","NTHL1/APEX1/MUTYH/UNG/PARP2/POLD2/NEIL3/XRCC1/PCNA/NEIL1/POLD3/POLE3/PARP1/HMGB1/POLD1/POLE2/POLE/LIG1/FEN1"
"WP_BASE_EXCISION_REPAIR","WP_BASE_EXCISION_REPAIR","WP_BASE_EXCISION_REPAIR",30,-0.723770631499808,-2.34526364567358,0.000186150409530901,0.00106908993719097,7.03348642888794e-05,1714,"tags=63%, list=14%, signal=55%","PNKP/NTHL1/APEX1/MUTYH/UNG/PARP2/POLD2/NEIL3/XRCC1/PCNA/POLD3/POLE3/PARP1/HMGB1/POLD1/POLE2/POLE/LIG1/FEN1"
"GOBP_INTERSTRAND_CROSS_LINK_REPAIR","GOBP_INTERSTRAND_CROSS_LINK_REPAIR","GOBP_INTERSTRAND_CROSS_LINK_REPAIR",33,-0.704705000581204,-2.34076838881389,0.000192752505782575,0.00106908993719097,7.03348642888794e-05,1769,"tags=58%, list=14%, signal=50%","MCM9/NUCKS1/DCLRE1A/FANCF/FANCM/NEIL3/FANCI/FANCE/FANCC/FANCA/DCLRE1B/RFWD3/FANCG/MCM8/FANCD2/RAD51/RAD51AP1/RAD51D/XRCC3"
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK",111,-0.518370887133244,-2.17483316834387,0.000440917107583774,0.00106908993719097,7.03348642888794e-05,2881,"tags=50%, list=23%, signal=39%","ERCC3/NEIL2/LIG3/ERCC1/MNAT1/CUL4A/MSH2/PRKDC/FANCB/OGG1/APEX2/RAD23A/NHEJ1/GTF2H4/PNKP/NTHL1/XRCC6/APEX1/MUTYH/UNG/RFC1/PARP2/POLD2/BRIP1/MSH6/FANCF/FANCM/RPA1/NEIL3/USP1/XRCC1/BRCA2/PCNA/FANCI/POLD3/POLE3/FANCE/RAD54B/FANCC/FANCA/BRCA1/PARP1/HMGB1/FANCG/RFC3/EXO1/FANCD2/POLD1/RAD51/RFC2/RFC4/POLE2/POLE/RFC5/LIG1/FEN1"
"GOBP_BASE_EXCISION_REPAIR","GOBP_BASE_EXCISION_REPAIR","GOBP_BASE_EXCISION_REPAIR",45,-0.586712934373822,-2.09429650548218,0.000224517287831163,0.00106908993719097,7.03348642888794e-05,2364,"tags=53%, list=19%, signal=44%","OGG1/APEX2/HMGA1/PRMT6/PNKP/NTHL1/APEX1/MUTYH/UNG/PARP2/HMGA2/RPA1/NEIL3/DNA2/XRCC1/PCNA/NEIL1/POLQ/PARP1/HMGB1/POLD1/POLE/LIG1/FEN1"
"GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION",66,-0.543248492706579,-2.09140628444551,0.000283929585462805,0.00106908993719097,7.03348642888794e-05,2092,"tags=39%, list=16%, signal=33%","PIAS4/C1QBP/PPP4C/VPS72/CSNK2A1/RUVBL1/SENP3/YEATS4/FUS/PRMT1/RNF126/SKP2/PARPBP/ACTL6A/RUVBL2/POLQ/WRAP53/MAD2L2/RTEL1/FIGNL1/PARP1/TIMELESS/RAD51/RAD51AP1/PLK1/RMI2"
"GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR","GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR",120,-0.469886543019324,-2.00335898918302,0.000467726847521048,0.00106908993719097,7.03348642888794e-05,2591,"tags=56%, list=20%, signal=45%","ING3/ACTB/UBE2V2/DEK/NBN/CHEK1/SMARCD1/TWIST1/BRD7/PHF10/NUDT16L1/MAGEF1/BCL7C/BCL7B/SMARCD2/SMARCB1/SMCHD1/RIF1/DMAP1/MEAF6/RPA2/KDM1A/DPF2/PRKDC/KAT5/ATRIP/FANCB/UBE2N/OGG1/SPIRE2/PIAS4/C1QBP/PPP4C/VPS72/CSNK2A1/RUVBL1/SENP3/PNKP/SMARCA4/YEATS4/FUS/ARID1A/PRMT1/AGER/HMGA2/DPF1/RNF126/SKP2/PARPBP/SETMAR/ACTL6A/RUVBL2/POLQ/DDX11/WRAP53/MAD2L2/RTEL1/FIGNL1/PARP1/FOXM1/TIMELESS/AUNIP/RAD51/RAD51AP1/PLK1/DPF3/RMI2"
