"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",191,-0.751199303093336,-3.35134553794408,4.32952156896355e-48,2.16476078448177e-46,1.32164342631519e-46,1947,"tags=71%, list=15%, signal=61%","SMC6/DIAPH3/NUDT21/PAICS/NUP107/CDK4/RANBP1/NUP153/TFRC/NOP56/TBRG4/SRSF1/LYAR/XRCC6/ANP32E/CBX5/MMS22L/DUT/UBR7/UNG/PHF5A/STMN1/RFC1/TUBG1/DCK/NUP205/POP7/POLD2/NOLC1/HNRNPD/RPA1/CSE1L/HMMR/PA2G4/USP1/BRCA2/CDC25B/TIPIN/SMC4/TRA2B/DONSON/TUBB/PCNA/CIT/ILF3/SMC1A/POLD3/HELLS/CKS2/HMGB2/SNRPB/NASP/CTPS1/PTTG1/RACGAP1/EXOSC8/DEPDC1/MELK/CENPE/NME1/TMPO/DCTPP1/SSRP1/PSMC3IP/WDR90/BRCA1/DDX39A/HMGB3/MCM6/LBR/DCLRE1B/CDKN2C/CKS1B/MCM2/PLK4/SRSF2/NCAPD2/RNASEH2A/DLGAP5/RFC3/MKI67/DNMT1/POLD1/SHMT1/ORC6/POLA2/BUB1B/GINS4/SPC25/TIMELESS/TOP2A/CDK1/RFC2/TK1/KIF4A/E2F8/UBE2T/RAD51AP1/UBE2S/EZH2/CDKN3/SUV39H1/CCNB2/ESPL1/KPNA2/POLE/MCM4/PLK1/SPAG5/KIF2C/TCF19/LIG1/BIRC5/CDCA8/CDC20/SPC24/GINS1/MXD3/MCM3/TRIP13/MCM7/MCM5/KIF22/TACC3/ATAD2/CENPM/GINS3/CDC25A/LMNB1/AURKB/ASF1B/RRM2/MAD2L1/CDCA3/AURKA/MYBL2"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",186,-0.675163207255894,-3.01005380431501,2.71407776583723e-31,6.78519441459306e-30,4.14253974785682e-30,1280,"tags=53%, list=10%, signal=48%","KIF20B/SMC2/NOLC1/HNRNPD/HMMR/BRCA2/CDC25B/SMC4/SFPQ/TRA2B/ILF3/SMC1A/RBM14/CKS2/AMD1/SNRPD1/NASP/POLQ/PTTG1/RACGAP1/FANCC/CENPE/NDC80/TMPO/DTYMK/KIF15/KIF23/DDX39A/HMGB3/MCM6/LBR/SLC7A1/CDKN2C/HOXC10/CKS1B/RBL1/MCM2/PLK4/FBXO5/SRSF2/RPS6KA5/CENPF/CDC7/STIL/TTK/INCENP/BUB1/MKI67/EXO1/ORC6/POLA2/PBK/CCNA2/TOP2A/PRC1/CDK1/KIF4A/MEIS1/UBE2S/KIF11/EZH2/CDKN3/E2F2/SUV39H1/CCNB2/ESPL1/KPNA2/POLE/TPX2/DBF4/PLK1/CENPA/CHAF1A/CDC6/KIF2C/NUSAP1/BIRC5/UBE2C/CDC20/GINS2/MCM3/NEK2/MCM5/KIF22/MT2A/TACC3/TRAIP/CDC25A/LMNB1/AURKB/E2F1/CCNF/MAD2L1/AURKA/TROAP/RAD54L/CDC45/MYBL2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,-0.548914415035639,-2.46355251808686,1.47901214476737e-16,2.46502024127896e-15,1.50495972625452e-15,3711,"tags=62%, list=29%, signal=44%","CCT4/EXOSC7/SYNCRIP/NHP2/HNRNPU/KPNB1/HSPE1/PSMC6/EIF4G2/IMPDH2/HNRNPR/EIF3B/PSMD1/HNRNPA3/SRPK1/HNRNPC/CCT2/PSMB3/UBA2/SERBP1/SET/EIF3D/G3BP1/DHX15/TFDP1/SRM/SRSF7/EIF4A1/HNRNPA1/ERH/NCBP1/SNRPD3/GOT2/RPL18/PRPF31/PHB2/TCP1/NOP16/EIF4E/CCT7/ABCE1/SF3B3/TARDBP/ODC1/SRSF3/PSMC4/PSMD3/VDAC3/MRPL23/C1QBP/BUB3/GLO1/PSMA7/HSP90AB1/CAD/ILF2/CDK4/EIF1AX/PSMB2/RANBP1/HNRNPA2B1/SF3A1/NOP56/U2AF1/DDX18/LSM7/SRSF1/RPL14/XRCC6/AIMP2/APEX1/EIF4H/PCBP1/TRIM28/VBP1/DUT/CYC1/RPL22/HDGF/PRPS2/PPM1G/POLD2/LSM2/NOLC1/SNRPA1/HNRNPD/MRPL9/RNPS1/PA2G4/USP1/PSMA6/CCT5/TRA2B/SNRPA/PCNA/RUVBL2/RRM1/RRP9/CSTF2/FBL/POLE3/SNRPD1/CTPS1/NME1/MCM6/MCM2/HPRT1/SRSF2/CCNA2/RFC4/KPNA2/MCM4/CDC20/MCM7/MCM5/TYMS/CDK2/MAD2L1/CDC45"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,-0.706839593925384,-2.67810975779954,3.08394032567513e-11,3.85492540709392e-10,2.35353340643629e-10,2927,"tags=75%, list=23%, signal=58%","NDUFAF4/SRM/UTP20/PES1/TMEM97/NOP16/SORD/BYSL/MYBBP1A/NIP7/PPRC1/PRMT3/CDK4/SUPV3L1/FARSA/NOP56/TBRG4/DDX18/AIMP2/LAS1L/EXOSC5/PPAN/UNG/IPO4/IMP4/MRTO4/NOP2/RRP12/NOLC1/GRWD1/DUSP2/PA2G4/WDR74/RRP9/DCTPP1/PLK4/TCOF1/NOC4L/MCM4/PLK1/SLC19A1/MCM5"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",136,0.627074216321817,2.06176679849338,1.12376036226338e-09,1.12376036226338e-08,6.86085273802906e-09,1972,"tags=44%, list=16%, signal=38%","DMD/NAV2/MYH1/PTGIS/MYH2/CASQ2/MYH11/CAMK2B/CD36/LSP1/SGCG/TNNC1/ACTC1/SGCA/MYH3/LAMA2/SGCD/ERBB3/MYOM1/IGFBP3/APOD/CACNA1H/ITGA7/SH3BGR/ITGB4/GAA/IGFBP7/LDB3/COX7A1/TPD52L1/COL3A1/PPP1R3C/PDE4DIP/ADAM12/SORBS3/SOD3/DES/SSPN/TAGLN/FOXO4/KCNH1/SVIL/ITGB1/CLU/CRYAB/DTNA/BHLHE40/EIF4A2/ITGB5/AGL/FABP3/STC2/TPM2/COL6A2/COL15A1/PPFIA4/DMPK/ENO3/GPX3/COL6A3"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,0.560439418461585,1.89286148250797,2.75894504058018e-08,2.29912086715015e-07,1.40367379257588e-07,1972,"tags=44%, list=16%, signal=38%","SFRP4/ABI3BP/VCAM1/MEST/EDIL3/POSTN/ECM2/VCAN/SGCG/MFAP5/COMP/FMOD/SERPINE2/ACTA2/COL5A3/PTX3/PTHLH/LAMA2/SGCD/CRLF1/IGFBP3/TGFBI/PCOLCE2/DCN/INHBA/TGFBR3/SPOCK1/COL8A2/SLIT3/LRRC15/IL6/HTRA1/LUM/LAMA1/THBS2/NTM/COL3A1/CALD1/IGFBP2/FBN1/FBLN2/RGS4/ADAM12/NNMT/SNTB1/VEGFA/CD59/FAP/LOX/MXRA5/TAGLN/ELN/DAB2/DST/MATN3/LAMC1/ITGB1/ITGAV/TIMP1/JUN/TNFAIP3/LRP1/ID2/COL4A1/FN1/FUCA1/COL12A1/ITGB5/COL5A1/SNAI2/SFRP1/MMP2/TPM2/AREG/MAGEE1/COL6A2/EFEMP2/BMP1/LOXL1/MYL9/COL1A2/TNC/GAS1/COL6A3"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,-0.46514345534812,-2.04387306667923,9.51523083194013e-08,6.79659345138581e-07,4.14949915979344e-07,3111,"tags=40%, list=25%, signal=31%","TAF6/CLP1/GTF2A2/RPA2/RALA/TMED2/ERCC3/ITPA/ERCC1/POLR2E/RAE1/GTF2B/SNAPC5/POLR2C/SF3A3/SNAPC4/GTF3C5/POLR3C/TAF1C/DGCR8/COX17/GTF2F1/NUDT21/UPF3B/STX3/CANT1/NT5C/DUT/ADRM1/BCAM/AAAS/POLA1/UMPS/POLR2I/PCNA/POLD3/CDA/NME1/SSRP1/ALYREF/ARL6IP1/SAC3D1/HPRT1/RFC3/POLD1/POLA2/RAD51/RFC2/RFC4/RFC5/LIG1/PRIM1/TYMS/FEN1/ZWINT"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",187,-0.392900087228992,-1.74671100944898,2.86332586388446e-06,1.78957866492779e-05,1.09258486911381e-05,2252,"tags=35%, list=18%, signal=29%","KPTN/ARHGDIA/RHOF/KATNB1/CEP192/TUBGCP5/CEP57/FSCN1/SHROOM2/SUN2/BCL2L11/CNTROB/PCNT/TUBGCP2/DOCK2/PIF1/TUBGCP3/RFC1/EPB41/MAP3K11/KIF20B/CDC42EP1/EZR/ARAP3/BRCA2/SHROOM1/SMC4/CENPJ/NET1/SMC1A/KNTC1/CEP72/GEMIN4/ECT2/RACGAP1/CENPE/NDC80/KIF15/CNTRL/KIF23/ANLN/SAC3D1/FBXO5/CENPF/TUBA4A/TTK/DLGAP5/INCENP/BUB1/TOP2A/PRC1/CDK1/KIF4A/KIF11/CCNB2/ESPL1/TPX2/PLK1/KIF2C/NUSAP1/BIRC5/NEK2/KIF22/LMNB1/AURKA"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",150,0.497937147423576,1.64616137036943,0.00035675117645143,0.00198195098028572,0.00121003323006918,2321,"tags=37%, list=18%, signal=30%","IGFBP1/SLC2A5/ANGPTL4/TGFB3/GPC4/NDRG1/IGFBP3/TGFBI/ATF3/DCN/FOS/GAA/AK4/IL6/MXI1/SLC6A6/AKAP12/PPP1R3C/VEGFA/LOX/TMEM45A/SDC2/SRPX/KLHL24/KLF7/JUN/TNFAIP3/P4HA1/DTNA/BHLHE40/DDIT4/COL5A1/PGM1/EFNA3/STC2/PAM/PRDX5/BNIP3L/CCNG2/CAV1/ADM/VLDLR/RBPJ/IDS/PPFIA4/ENO3/ZFP36/HEXA/KDM3A/SLC2A3/IER3/GLRX/GBE1/MAP3K1/KDELR3"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",122,0.509872463250973,1.66238576808719,0.000595925086794344,0.00297962543397172,0.00181913973863537,2023,"tags=38%, list=16%, signal=32%","CPE/FGF9/TMEM100/ITGB2/ANXA10/CAB39L/ANGPTL4/CFB/KCNN4/ITGBL1/ALDH1A3/SATB1/IGFBP3/CFH/APOD/KLF4/INHBA/HDAC9/RELN/GPRC5B/LIF/CCND2/GFPT2/AKAP12/IL1RL2/IL1B/MAP7/EVI5/TNFAIP3/ID2/LY96/PLAT/ANKH/FUCA1/ACE/BIRC3/TFPI/ENG/GPNMB/CBR4/TSPAN1/MAFB/CTSS/EMP1/CDADC1/TRIB2"
