"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",190,0.72345015301771,2.26842449079049,3.38566083314637e-20,1.69283041657318e-18,1.21171019291554e-18,1440,"tags=42%, list=11%, signal=38%","E2F8/AURKB/HMMR/CDCA8/MKI67/CDC20/KIF2C/SPC25/ASF1B/PLK1/KIF4A/DEPDC1/CENPM/MYBL2/RRM2/TOP2A/DLGAP5/CDK1/AURKA/BIRC5/TK1/BUB1B/SPC24/GINS4/ESPL1/CCNB2/LMNB1/SPAG5/HELLS/CDKN3/RAD51AP1/CDCA3/PTTG1/TACC3/MXD3/CENPE/TRIP13/CKS2/PLK4/CIT/MCM5/GINS1/SHMT1/CDKN2C/MAD2L1/RACGAP1/CDC25A/UBE2T/MCM2/TCF19/BRCA2/ORC6/EZH2/LBR/CDC25B/ATAD2/RFC3/BRCA1/GINS3/RNASEH2A/CHEK1/MCM7/POLE/MCM3/HMGB2/POLD1/SUV39H1/MCM6/MELK/HMGB3/CDKN1B/NASP/MCM4/BARD1/SMC4/POLA2/KIF22/TMPO/LIG1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",183,0.718752883835062,2.25094527847455,5.94036922637504e-19,1.48509230659376e-17,1.06301344050922e-17,1452,"tags=43%, list=11%, signal=39%","TROAP/AURKB/HMMR/MKI67/CDC20/KIF2C/NEK2/CENPA/RAD54L/PLK1/KIF4A/MYBL2/TTK/CDC45/TOP2A/CENPF/CDK1/AURKA/UBE2C/BIRC5/PBK/NDC80/ESPL1/CCNB2/LMNB1/BUB1/CDKN3/PRC1/KIF11/GINS2/TPX2/NUSAP1/KIF15/PTTG1/TACC3/CENPE/KIF20B/EXO1/CCNA2/CKS2/PLK4/MCM5/CDC7/CDKN2C/CCNF/DBF4/POLQ/MAD2L1/RACGAP1/CDC25A/MCM2/CDC6/BRCA2/ORC6/EZH2/LBR/E2F1/MEIS1/CDC25B/FBXO5/TRAIP/KIF23/CHEK1/POLE/MCM3/RBL1/SUV39H1/MCM6/HMGB3/CDKN1B/NASP/RBM14/STIL/BARD1/SMC4/POLA2/KIF22/TMPO/SFPQ"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",189,-0.473243808681537,-2.1177662343319,1.03971207592186e-10,1.73285345986977e-09,1.24035826601205e-09,1893,"tags=46%, list=15%, signal=39%","FGF2/LAMC1/PTHLH/LRRC15/SGCG/ACTA2/ITGB1/LOXL2/PMEPA1/VIM/ITGAV/COL1A1/THBS1/COL1A2/HTRA1/PLAUR/QSOX1/LAMA2/PLOD1/FSTL1/COL3A1/PLOD3/ID2/GADD45A/CALU/EMP3/BMP1/LRP1/FMOD/COL6A2/PTX3/COL5A1/RGS4/CALD1/NNMT/SPARC/MATN3/SGCB/NTM/GADD45B/IGFBP3/COMP/APLP1/DCN/TIMP1/TNFAIP3/DAB2/SERPINE1/INHBA/PCOLCE2/DPYSL3/MMP2/FAP/LUM/THBS2/TIMP3/LOX/FBN1/CDH6/IL6/MFAP5/ITGB5/SPOCK1/ECM1/SAT1/POSTN/TFPI2/COL8A2/CRLF1/SLIT3/TGFBI/FBLN2/PLOD2/EFEMP2/FN1/ENO2/SPP1/SGCD/SFRP4/ABI3BP/EDIL3/CADM1/SERPINE2/VEGFA/VCAN/ECM2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",156,-0.458550899727547,-1.97629603521082,5.55089364359834e-08,6.93861705449793e-07,4.96658904953536e-07,1534,"tags=41%, list=12%, signal=37%","SRPX/IRS2/TPI1/GYS1/KLHL24/PLAUR/SDC2/TES/EFNA3/PDK1/SLC2A3/PGK1/TPST2/P4HA2/BNIP3L/COL5A1/PGM1/PFKL/CDKN1A/CAV1/PYGM/STC2/NDST1/FAM162A/IGFBP3/VLDLR/DCN/ANGPTL4/PAM/HMOX1/F3/TNFAIP3/KDM3A/TGFB3/BTG1/SERPINE1/IER3/MAFF/TMEM45A/DTNA/HK2/GAA/LOX/IL6/P4HA1/GBE1/RRAGD/STC1/NDRG1/KLF7/TGFBI/PPP1R3C/GPC4/MXI1/ENO2/HAS1/PPFIA4/ERRFI1/AK4/IGFBP1/VEGFA/SLC2A5/HOXB9/BHLHE40"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",188,0.542628297039522,1.70110589974014,1.81986768660727e-05,0.000181986768660727,0.000130264213357152,2074,"tags=27%, list=16%, signal=23%","KIF2C/NEK2/PLK1/KIF4A/TTK/TOP2A/DLGAP5/CENPF/CDK1/AURKA/BIRC5/NDC80/ESPL1/ANLN/CCNB2/LMNB1/BUB1/PRC1/KIF11/TPX2/NUSAP1/KIF15/CENPE/KIF20B/RACGAP1/DOCK2/KNTC1/BRCA2/FBXO5/KIF23/FGD4/CNTRL/PIF1/RAPGEF5/SMC4/KIF22/EPB41/RAPGEF6/FGD6/RHOF/EZR/NET1/INCENP/VCL/MYH10/CEP72/ARHGAP27/ARHGDIA/CDC42EP4/ALMS1/ARHGAP29"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",132,-0.386553211896512,-1.63401508197199,0.000206854032349446,0.00169630505016595,0.00121419729906616,2082,"tags=39%, list=16%, signal=33%","EIF4A2/NAV2/TNNC1/SCD/GSN/FGF2/MEF2D/SGCG/IGFBP7/ATP6AP1/ITGB1/SMTN/COL1A1/MAPRE3/RIT1/LAMA2/GABARAPL2/COL3A1/SSPN/HSPB2/COL6A2/CDKN1A/SPARC/MYOM1/CRYAB/PYGM/COX7A1/STC2/GADD45B/IGFBP3/TPD52L1/COL15A1/TNNC2/PFKM/FABP3/HBEGF/CDH13/DTNA/GAA/APP/FST/ITGB5/PTGIS/PPP1R3C/SGCA/CFD/PPFIA4/SGCD/MYH2/CD36/KCNH1/BHLHE40"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",168,-0.357391509732149,-1.559230728104,0.000237482707023234,0.00169630505016595,0.00121419729906616,2673,"tags=39%, list=21%, signal=31%","CD81/POLH/SLC19A2/FDXR/MDM2/ACVR1B/SEC61A1/TRIB3/FAS/BAIAP2/CGRRF1/STEAP3/WWP1/RPS27L/PTPN14/S100A10/PLK3/ISCU/SESN1/ABHD4/TCN2/DDB2/VAMP8/CCND2/ZMAT3/RETSAT/LIF/VDR/PRMT2/AEN/GADD45A/SLC3A2/NUPR1/TXNIP/ANKRA2/FGF13/KLF4/RNF19B/TSPYL2/IP6K2/SERTAD3/CDKN1A/MXD1/CDKN2A/HSPA4L/SLC7A11/FAM162A/TPD52L1/HMOX1/TSC22D1/CTSD/CDKN2B/BTG1/IER3/HBEGF/CDH13/CTSF/IFI30/APP/SAT1/NDRG1/PLK2/CLCA2/PTPRE/INHBB"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",86,-0.414860754285719,-1.64797371138736,0.00154430657723128,0.00965191610769548,0.0069087399507715,2405,"tags=52%, list=18%, signal=43%","CTSO/PREP/ARF4/ADAM9/SERPING1/S100A1/GSN/MMP15/PLAT/SH2B2/LAMP2/ISCU/S100A13/THBS1/HTRA1/PROS1/MST1/CRIP2/BMP1/LRP1/C1S/CFB/LGMN/F10/SPARC/CFH/COMP/ACOX2/TIMP1/F3/CTSK/SERPINE1/MAFF/MMP2/TIMP3/FBN1/GDA/CPQ/TFPI2/KLF7/FN1/FYN/CFD/SERPINB2/DPP4"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",155,-0.315484075352296,-1.3693458471668,0.00481095693383691,0.0267275385213162,0.0191312907310474,1722,"tags=28%, list=13%, signal=25%","GFPT1/ABCB6/PGLS/PPP2CB/B4GALT1/IRS2/TPI1/GYS1/HOMER1/SLC16A3/QSOX1/SDC2/PLOD1/EFNA3/TPST1/SOX9/PGK1/P4HA2/SPAG4/COL5A1/GCLC/IDUA/STC2/FAM162A/IGFBP3/VLDLR/DCN/ANGPTL4/PAM/IER3/CHPF/HK2/P4HA1/RRAGD/STC1/TGFBI/PLOD2/GPC4/MXI1/ENO2/PPFIA4/AK4/VEGFA/VCAN"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",134,-0.327752693870142,-1.38467103869927,0.00687606798794125,0.0312930281862091,0.0223992201753918,2159,"tags=28%, list=17%, signal=24%","NOTCH2/SNAI2/CITED2/NR3C1/DLC1/LAMC1/CACNA1A/PTPN21/SYNE1/COL1A1/GCNT1/RASA2/BCKDHB/COL1A2/TFPI/DDAH1/SDC2/COL3A1/FHL2/SMAD7/NEK7/EFEMP1/RGS4/PLCB4/CAV1/KCNMA1/VLDLR/F3/DAB2/SERPINE1/TGFBR2/INSIG1/HAS2/RUNX1/FYN/ACVR2A/CELF2/BHLHE40"
